Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.000928899,0.6928836,0.14944687,0.014944688,211.64459,29.417334,-5.3879366,0.002992015,0.001797582,0.007678411,-0.002601001,0.00033026,0.002315892,0.007400641,-0.004998319,-5.4070196,0.6253165,-3.767221,-6.833845,0.001525686,0.001655393,0.005054727,-0.003320447,0.00036571,0.001829025,0.005072611,-0.004632369,1.5301851,0.002541292,"[-11.99852044 231.1790254  130.34427545  72.19508922   8.53792858
  34.25276702   7.8140692    5.92465526  62.88037106  54.77340232]",59.59030631,69.69633952,231.1790254,-11.99852044,4000,5831,0,141.6218604,0,12.86952779,154.4913882,168.0706325,0
1.535223,0.002539057,21.485203,2.1485202,223.86017,38.405045,-93.17576,84.424446,26.785002,166.342,0.011278097,94.5982,20.81994,161.74763,15.021339,-2.0361335,1.7150192,1.6322354,-8.368288,-0.049447227,0.40883377,1.4428058,-1.5870926,-0.84241354,0.10696146,-0.2869303,-1.1868913,1.5809927,0.001588004,"[-99.9503157  -12.4779703  -35.22147832 -11.84326064 -32.87498228
  -6.69572589 -66.31007209  -3.19158989 -13.46108049 -38.90492701]",-32.09314026,29.07660114,-3.191589894,-99.9503157,8000,9819,0,143.6331207,7.723152302,7.96442599,159.320699,327.6851524,1
1.5847409,0.001581031,23.011051,2.3011053,222.69705,65.89524,-170.9411,162.13777,32.08539,241.68143,-7.0972652,172.93689,28.921238,235.83528,67.134964,-1.2251359,2.0212312,3.1696727,-8.284529,0.019192772,0.5818333,1.7446042,-2.046539,-0.8290905,0.116126984,-0.42125756,-1.2268164,1.56933,0.001568461,"[-198.57388954   -8.56420794   17.38501423  -27.82821409   11.28844701
 -210.64904419 -262.30720097    0.42635258  -12.16887372 -193.56165552]",-88.45532721,106.4227554,17.38501423,-262.307201,12000,12747,0,140.5016087,11.17948909,7.81292579,159.4940235,487.2798255,2
1.5637276,0.001573644,22.281536,2.2281537,272.26343,70.36281,-215.00937,207.462,31.022535,337.45187,84.76316,217.98495,26.762302,349.05933,126.4937,-1.2424325,2.3547451,6.6250844,-7.117813,-0.057376362,0.61623734,1.8418559,-2.0078223,-0.7802205,0.13433044,-0.3382483,-1.2722962,1.5246235,0.006447082,"[ 15.76361833  -4.82105768   3.19790462  36.85960806  12.41773092
 -75.2109068   87.05118901   3.29508395 -26.68325748  14.51092664]",6.638083956,39.39817359,87.05118901,-75.2109068,16000,16348,0,141.1442499,6.201557786,7.594909273,154.940717,642.3184389,3
1.5229677,0.006447412,21.944626,2.1944625,223.55347,61.42443,-227.44536,221.08647,35.831135,303.8636,9.025495,226.3139,29.409395,308.42575,116.1748,-1.7763858,1.9836893,3.798101,-6.8104277,-0.020057712,0.52545786,1.8466108,-1.9005436,-0.79882586,0.13195549,-0.35789466,-1.4384389,1.4661572,0.00294524,"[  9.0875484    9.56543034  18.64689646  69.09405464  29.87363921
  25.58990524 -11.45955574  14.57518121   2.72133534   5.603759  ]",17.32981941,20.54846076,69.09405464,-11.45955574,20000,19120,0,141.4204976,3.608809074,7.535192319,152.564499,794.9778624,4
1.4681956,0.002923043,22.827301,2.28273,232.92577,80.777214,-238.6563,233.85172,28.142174,311.70865,155.69048,238.39505,24.666147,313.77658,160.97974,-1.9109137,1.9385749,4.23965,-7.059726,0.018550433,0.49743122,1.7828345,-1.8451283,-0.79878724,0.130593,-0.39536387,-1.2830074,1.4265143,0.00870553,"[61.81620524 39.00791879 31.32552528  1.28925902 12.04592351 47.20110153
 88.62110633 23.2593107  72.04828406  4.85902427]",38.14736587,27.84942743,88.62110633,1.289259022,24000,21945,0,142.3491541,9.120303328,7.958405235,159.4278626,954.4953377,5
1.4245279,0.008695195,19.56926,1.956926,182.95715,60.661797,-240.242,232.25183,39.559616,330.07562,13.048765,240.83942,29.853954,333.95178,95.88535,-1.8827777,2.479256,10.450271,-8.377997,-0.057779387,0.486935,1.8166187,-2.4269278,-0.8028295,0.13313067,-0.34320432,-1.4443687,1.3936964,0.012122951,"[ 63.08266912  -5.08313512  10.90323213  -0.78961681  -3.50698179
  19.04527882  62.1231199   70.93976698  81.16355859 196.95696796]",49.48348598,58.5533399,196.956968,-5.083135123,28000,25122,0,141.0259569,12.5096838,8.14398631,161.679627,1116.280108,6
1.3888234,0.01214722,21.653728,2.1653728,230.39511,54.237774,-244.51013,234.93526,42.85603,321.99234,44.611565,244.38263,35.896656,343.5984,98.79386,-1.5492263,2.284382,10.800283,-9.009415,0.012119962,0.52301115,1.6772113,-2.2616794,-0.82523024,0.13013531,-0.38950455,-1.6412618,1.3252556,0.014640711,"[ 26.97490129  -3.10828046  24.05578818 162.05284903 137.55739021
  22.73140524  60.38425851  -0.76946509 103.60972601   6.35335486]",53.98419278,56.82880116,162.052849,-3.108280465,32000,27752,0,141.662623,6.19466422,7.561860637,155.4191479,1271.784595,7
1.3260273,0.014675239,18.621807,1.8621807,350.96072,82.78835,-255.03926,245.40047,49.360344,343.35062,-34.725334,253.01462,36.268757,349.01245,78.95007,-2.0546694,2.5965145,7.766448,-10.340362,-0.025781583,0.4996835,1.8409452,-2.394346,-0.7924251,0.13332906,-0.38683924,-1.3487005,1.3092388,0.014167669,"[ 66.8551516   48.77715333  34.8906112  212.01620819  80.66291007
  34.29739489  86.07957251 100.57046924  67.83447783  38.73317447]",77.07171233,49.92520854,212.0162082,34.29739489,36000,30732,0,141.593952,9.977578817,7.443995798,159.0155266,1430.886856,8
1.3006485,0.014113097,20.000929,2.000093,157.65189,55.50096,-254.50287,248.23474,42.05442,347.63684,-27.538713,255.735,37.110832,338.49475,43.253876,-1.9482127,2.1965797,9.361324,-8.634858,-0.03703468,0.5086903,1.9998645,-2.1424518,-0.79773045,0.12146983,-0.33567077,-1.3661306,1.2752041,0.016947975,"[  2.70478373  90.67964086 146.95622658 111.71119741  29.85432744
   9.23387788 245.96026817  59.28532194  40.93132791  83.83418997]",82.11511619,69.69075083,245.9602682,2.704783728,40000,34546,0,140.5876793,8.869370307,7.528829676,156.9858793,1587.968508,9
1.2716494,0.016949352,19.9461,1.9946101,118.43383,47.96852,-265.51157,256.20065,44.505463,347.91415,-32.078987,266.38898,36.518963,346.9044,130.16882,-2.1776364,2.1260383,6.473493,-7.971364,0.031690158,0.4746193,1.9738665,-2.08809,-0.79450125,0.11448454,-0.42741913,-1.2942061,1.2249701,0.052916147,"[ 57.76202872  73.40496994 181.26054651  25.11614882 233.6490263
  88.3178351    3.37968662 155.59808507 100.30297112 132.17303837]",105.0964337,67.75163208,233.6490263,3.379686619,44000,37295,0,141.0189775,11.3850643,6.798363044,159.2024048,1747.267408,10
1.2274332,0.0522726,18.917606,1.8917607,152.22437,45.540207,-263.60446,254.6348,47.285706,350.06577,-5.8703737,264.7847,38.881603,356.51883,144.98279,-1.769011,2.4823027,13.799524,-8.403636,0.008301479,0.50083345,1.9684383,-2.7843988,-0.81688654,0.1297674,-0.39615852,-1.4771612,1.194039,0.04699449,"[115.17910326  18.41261368 185.49495632 300.75029527  96.39503332
  77.76595561 171.68611045 119.93004134   6.24970028 219.63874577]",131.1502555,85.98813457,300.7502953,6.249700285,48000,40980,0,142.5542656,10.61741711,7.614173162,160.7858559,1908.135352,11
1.1936382,0.046965867,15.472868,1.5472869,172.62578,42.26564,-278.46985,270.30652,47.19061,384.00308,95.54654,278.08527,41.89321,403.81485,138.6223,-2.1741982,2.1110692,12.234837,-9.71999,0.011330564,0.45181355,2.4419782,-1.5957676,-0.80341935,0.10872408,-0.4506765,-1.2434838,1.2311864,0.03882878,"[ 31.086504   222.22875562  86.51658983  13.64942101  56.58313109
  98.59159622 339.00125684 169.91858588 105.93535643 112.35327836]",123.5864475,92.65473969,339.0012568,13.64942101,52000,44834,0,141.2038956,7.667476366,6.962390806,155.8337627,2064.055833,12
1.2292631,0.038883634,17.949032,1.7949032,179.11816,63.425453,-286.91293,279.31064,54.804264,391.30582,-36.565144,287.46466,43.118183,394.88406,117.56519,-2.0359697,2.0702584,9.949184,-7.864011,-0.027216857,0.45063484,1.9094499,-1.7193376,-0.8094741,0.11764505,-0.35417628,-1.6728528,1.2352687,0.05452934,"[157.41277309   9.59449926   2.60967416 136.06163572 194.74370301
 165.84939817 184.63262655  15.41792686 159.52794001  58.48004511]",108.4330222,73.78369939,194.743703,2.609674164,56000,47686,0,141.7413239,14.03189508,8.0553743,163.8285933,2227.971937,13
1.2521077,0.054572888,17.619154,1.7619154,210.2005,98.92843,-293.5371,280.96783,53.73496,378.65903,-20.573502,286.9347,38.751392,380.85995,180.48601,-1.9800464,2.2025857,9.677994,-7.6182184,0.01583523,0.47452483,2.0204568,-1.8740348,-0.82482666,0.11782867,-0.44659817,-1.5502508,1.2409363,0.027026331,"[506.08046489 335.24534864  19.08297732 264.49959995  62.75656632
  10.709165    68.46317252  38.12536161 270.84284868 258.73018687]",183.4535692,158.9874017,506.0804649,10.709165,60000,50498,0,142.0682173,11.62833503,7.92507942,161.6216317,2389.684918,14
1.2448213,0.026712283,17.539194,1.7539195,189.98056,66.2955,-295.80194,289.14203,52.320538,411.57263,-52.74068,295.95557,42.59757,406.15912,102.23615,-1.7238072,2.30844,10.706467,-13.135392,-0.007913358,0.46483576,2.1267335,-2.5228608,-0.8282003,0.108290866,-0.49230516,-1.3651485,1.0587561,1.4937489,"[346.63370201   3.40999653 300.82231335  65.24704057  40.63206447
  37.30127364 226.49318252 258.47541891 179.41056966   9.36401156]",146.7789573,123.6543811,346.633702,3.40999653,64000,53562,0,143.3875202,11.41858686,8.045400436,162.8515075,2552.624448,15
1.0588167,1.4898326,11.715773,1.1715773,2022.6699,286.55435,-128.27718,118.53653,67.2674,255.98137,-284.23486,129.56226,57.908237,242.4132,-142.46873,-1.9090765,2.458514,9.876293,-8.280579,-0.040639494,0.5146521,2.6097124,-2.2331896,-0.80797243,0.11892134,-0.28898108,-1.2553627,1.8488992,0.081937194,"[295.913051    36.29379566 202.09364123 106.99973945 345.54634259
  -5.77244881 313.10082713 327.87760705 342.17394187 226.83301881]",219.1059516,124.3406817,345.5463426,-5.772448808,68000,57289,0,144.9787788,13.92714571,7.88693232,166.7928569,2719.51125,16
1.8527167,0.08201,19.298386,1.9298385,293.32727,58.260406,-298.72116,289.9552,63.506527,408.04047,-73.28572,296.273,49.75334,415.0613,134.35818,-2.049823,2.178531,13.97377,-7.276039,-0.04580277,0.44421032,1.9261246,-3.279918,-0.8269598,0.10514535,-0.36929253,-1.192596,1.614989,0.025012514,"[268.82863782 229.27390657 249.74659039 353.24339315 602.32021944
 201.7135997   66.43372248 249.13206742  37.30292237 222.0211047 ]",248.0016164,147.5075341,602.3202194,37.30292237,72000,60964,0,143.3783742,14.41211416,7.780397143,165.5708855,2885.166659,17
1.6186485,0.025127774,20.569925,2.0569925,193.87666,45.22505,-279.23798,270.48114,58.081463,420.7239,-26.581661,278.6746,51.00408,409.18378,101.19509,-1.873828,2.2422404,17.395588,-7.6207347,-0.027827777,0.44692746,2.1661773,-3.6022441,-0.8244444,0.1083318,-0.46018952,-1.3018069,1.5015248,0.7662692,"[152.15254175 225.17801905 127.9437396  302.20359838 220.05585799
  48.43475032  98.08006492 414.18376375 519.41795981 250.04929316]",235.7699589,137.8170808,519.4179598,48.43475032,76000,64758,0,143.7231994,15.00607772,7.306839283,166.0361164,3051.293726,18
1.5032921,0.76977134,18.992323,1.8992323,671.24695,138.83588,-222.22127,215.94748,59.541687,322.37076,-93.81781,223.08824,56.508057,319.17032,-44.83928,-1.8412473,2.5843418,11.5242405,-8.095678,0.006520563,0.4775082,3.1156282,-3.0713654,-0.80672747,0.10518376,-0.4360979,-1.4103628,1.5659702,0.08519671,"[352.21881295 316.49720052 247.39372845 233.68928728 267.68200589
 298.18362719 369.59564698  26.08095415 434.36360688 113.38317099]",265.9088041,115.0407604,434.3636069,26.08095415,80000,68203,0,144.4419537,14.55569407,7.25392913,166.2515769,3217.643317,19
1.5655575,0.08465521,17.616304,1.7616304,177.31882,57.578163,-294.08224,284.17853,60.35532,400.77774,-76.69588,293.966,52.520905,395.28995,164.30649,-2.2181654,1.9603051,8.806093,-9.184178,0.001697039,0.41476235,2.1269524,-2.1040452,-0.8174001,0.09693909,-0.4814718,-1.3366938,1.5024348,0.08193548,"[127.85180996   8.157573   111.96237289 329.87033876  86.77304458
 416.76689973 221.03051555 240.97657915   9.72749056 221.78225667]",177.4898881,126.5568824,416.7668997,8.157573,84000,71066,0,142.5348252,8.342148257,7.468750945,158.3457244,3376.096177,20
