Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.001917508,0.6939387,0.14828885,0.014828885,46.709827,16.167742,-3.9816623,-0.002679215,0.002675766,0.004088988,-0.010387832,-0.001651519,0.001290455,0.001782403,-0.004917718,-4.0086207,0.54835194,-2.2180557,-5.7349057,-0.000129969,0.001338992,0.004119893,-0.004545611,-0.000547044,0.001156185,0.002388617,-0.004440565,0.8570304,0.047355607,"[-119.80486682 -136.9792466  -158.74689445 -140.93463933 -123.38789593
 -141.5424727  -149.58532802 -151.90958377 -119.03849759 -164.97905753]",-140.6908483,15.29676785,-119.0384976,-164.9790575,4000,14000,0,141.9527783,0,10.93709595,152.8898743,170.620587,0
0.90167505,0.041856658,9.360006,0.93600065,47.1469,9.294404,-48.83809,44.240807,17.82905,99.00708,-16.574621,49.184624,17.31221,101.537,-8.512872,-3.2385275,1.2206479,-0.06476468,-8.254299,0.06723497,0.3628978,1.6284689,-1.2889998,-0.31089845,0.06466471,-0.16806349,-0.5761995,1.0705801,0.023435056,"[-140.71860726  -66.55020744 -116.91921201 -100.35151368  -46.52522974
 -136.85984412 -110.46513159 -127.80643182 -129.03688426 -108.42813742]",-108.3661199,28.94554752,-46.52522974,-140.7186073,8000,26000,0,141.1557412,17.72576609,5.554469279,164.4359766,335.1402841,1
1.0627549,0.023334749,12.617655,1.2617655,77.44399,28.448317,-88.40505,84.29179,26.726316,182.0234,20.158403,91.97092,27.315807,176.4221,32.280903,-3.2033463,1.3965696,1.9968648,-6.9521055,0.023217214,0.44225755,1.6368394,-1.8417437,-0.3282062,0.076840825,-0.10830869,-0.680839,1.1768091,0.03133611,"[-52.09384411 -20.17585418 -70.50107003 -56.87156973  -4.5261226
 -86.1482204   -4.72648553 -38.32399383  41.84297799 -71.25432327]",-36.27785057,37.31738042,41.84297799,-86.1482204,12000,38000,0,142.3822285,20.99292907,6.486303467,169.861461,505.0999261,2
1.173344,0.031380285,13.744539,1.3744539,53.716454,28.074799,-128.45241,124.663605,39.311035,223.57649,49.962246,131.93298,39.126827,227.50276,64.5722,-3.0888681,1.2659762,1.723346,-6.025714,0.010516976,0.41898605,1.791188,-1.301242,-0.33096814,0.0815935,-0.16474834,-0.69333816,1.2243838,0.034015235,"[215.12223097 116.96737152 175.28799707  94.11691416 221.12375198
  46.61422166  79.10989942  49.36864236  80.11590951  67.35587742]",114.5182816,62.54443145,221.123752,46.61422166,16000,50000,0,143.1139006,20.95921423,6.446107567,170.5192224,675.7064034,3
1.2231514,0.03410511,14.648917,1.4648918,46.83977,10.9094715,-149.63753,143.59972,42.67657,274.90213,71.712555,150.32635,41.4437,273.18155,81.26038,-3.2629328,1.4189438,2.3022041,-7.2082367,0.012199369,0.38947287,1.7695112,-1.4258059,-0.32613477,0.085294366,-0.07732354,-0.7754878,1.27453,0.036229327,"[377.42888561 577.56733452 207.63355706 158.23362038 404.82230909
 246.98884586 410.91484624 323.08229238 157.35252815  62.43087185]",292.6455091,146.4743747,577.5673345,62.43087185,20000,62000,0,140.8222746,21.06986527,5.542368257,167.4345082,843.2300535,4
1.2748578,0.03630378,15.50745,1.550745,68.44155,19.164122,-191.49336,186.28488,52.588593,334.50677,100.755165,190.23953,52.079636,327.00708,99.7673,-3.179522,1.3542868,2.3836563,-7.610919,-0.03514818,0.44905213,1.946063,-1.8796372,-0.3404627,0.09354306,-0.032215998,-0.8408439,1.3176636,0.03010225,"[1359.03449963 1683.98054731  698.55417239 1282.31917818 1284.74318036
 1253.42464325 1276.47792498 1467.87376846 1610.50044553  717.21644516]",1263.412481,310.9298128,1683.980547,698.5541724,24000,74000,0,141.9000872,17.66237266,6.574770999,166.1372309,1009.453033,5
1.315428,0.029934848,16.201488,1.6201489,302.90747,50.24353,-223.01384,216.83366,72.6502,432.32693,111.42569,228.04527,71.72269,427.9796,116.36963,-2.908556,1.8381262,5.4552507,-8.615093,-0.006876013,0.5119946,2.0630612,-1.704877,-0.35600626,0.10570439,-0.124134116,-0.89694417,1.3300673,0.050965853,"[1717.4468697   957.23179952 2182.97970855 2026.76438238 2364.95295906
 1805.16370186 2174.37854872  556.20935944 1851.90103585  813.99279666]",1645.102116,604.6910074,2364.952959,556.2093594,28000,86000,0,141.3777885,19.81530067,6.59771131,167.7908005,1177.32872,6
1.3293868,0.051017683,14.408234,1.4408234,129.80072,33.496193,-262.55328,254.32748,104.98196,570.5655,135.75388,263.52344,104.4851,579.60455,140.23055,-2.628164,1.8245932,4.3250685,-6.169155,-0.017206943,0.5317824,1.7189984,-2.1563804,-0.36801186,0.13275558,-0.06561345,-1.3202304,1.4363272,0.023656022,"[2653.94428115 2711.7415817  2650.90073385 2677.82463629 2718.87350692
 2753.16561472 2621.09594926  844.33412152 2472.45300589 2696.02910001]",2480.036253,550.0926172,2753.165615,844.3341215,32000,98000,0,142.3745892,17.8372297,6.397122672,166.6089416,1344.014285,7
1.4365635,0.023555791,18.323,1.8323001,119.078415,56.591427,-284.66232,275.00464,114.12933,679.53375,142.85335,279.9147,115.98067,685.7592,158.8588,-2.4140596,2.1078944,6.48071,-7.6143284,-0.010068208,0.5826307,2.2576063,-1.8932884,-0.382583,0.1403378,-0.059430644,-1.187321,1.570262,0.026734218,"[2925.51027445 2980.84446605 2906.78806712 2941.08159982 2890.42442532
  682.37579128 2917.04663503 2833.37568792 3108.70423823 3084.19761975]",2727.03488,686.28824,3108.704238,682.3757913,36000,110000,0,141.3958577,17.8108637,5.681655391,164.8883768,1508.988719,8
1.5714668,0.026570031,18.710285,1.8710285,102.72793,36.4113,-319.53604,312.20898,157.32193,809.073,162.68185,315.6676,157.63722,802.6678,178.22974,-2.2060304,2.28106,5.391802,-6.3220606,-0.043104004,0.58388966,1.9197209,-2.170544,-0.39043918,0.16912653,-0.16119978,-1.5250498,1.6815469,0.039277457,"[3247.66095674 3338.15260218 3211.673153   3226.83353884 3144.61281778
  880.26929528 3360.72621857 3269.68389065 3201.73817106 3182.73076804]",3006.408141,711.5226085,3360.726219,880.2692953,40000,122000,0,142.4535206,17.70992274,6.519831718,166.6832751,1675.751171,9
