Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.000642922,0.69233894,0.15005128,0.015005128,41.014656,4.412744,-2.0703828,0.006202717,0.000479919,0.007425264,0.004644522,0.001042178,0.000340874,0.002060153,-0.000130867,-2.0530977,0.36131054,-0.87553036,-2.704667,0.000720973,0.000905173,0.002585583,-0.000754633,-0.000240213,0.001035505,0.001366366,-0.001920892,0.016897932,0.007497815,"[38.22339057 40.13921878 39.78810414 40.36440671 38.34571265 38.91801178
 39.96088585 39.8144981  40.27736666 40.02457323]",39.58561685,0.752138497,40.36440671,38.22339057,4000,4278,0,137.978066,0,14.08212846,152.0601945,152.5528234,0
0.014388141,0.007515853,9.888719,0.9888719,3169.8503,247.62395,-209.97762,212.98608,113.061554,458.88928,-7.570993,221.06853,103.9153,461.17926,14.078594,2.4564514,2.1280437,8.618195,-5.3356233,1.3657866,0.59303296,2.7400744,-2.1858404,-0.5754762,0.08189308,-0.324416,-0.84974724,0.6560978,0.001340854,"[239.99131272 238.41720031 217.71311981 243.58055671 255.3549253
 222.79701716 271.06837026 254.80391299 279.25688712 279.83925923]",250.2822562,20.73443612,279.8392592,217.7131198,8000,6548,0,143.567932,3.365752995,6.258920396,153.1926053,305.8295553,1
0.6711799,0.001299253,16.689816,1.6689816,12759.455,2249.3752,-698.84827,658.37885,196.5816,1207.3162,-24.14618,697.14124,135.00566,1119.7834,-8.406482,3.5985017,2.9939911,12.743549,-3.6869724,0.31167406,1.6227313,3.4946947,-3.477896,-0.77255106,0.22762576,-0.20085947,-1.7123406,0.69435793,0.00177077,"[23.88314348 16.35898764 16.25043954 19.66365327 17.92713859 18.15073074
 20.78502424 17.74807696 16.1008808  17.82891948]",18.46969947,2.289336212,23.88314348,16.1008808,12000,8937,0,142.9439638,0.279195743,8.536429433,151.759589,457.6781501,2
0.6959704,0.001766487,17.978905,1.7978905,7422.719,3698.6704,-1507.9847,1402.9729,415.6025,2096.5151,-4.187426,1516.9377,267.8342,2093.5369,187.98703,6.8610773,3.126428,20.206003,-1.0355854,0.3460587,2.2652745,4.8650846,-3.4184701,-0.8066278,0.3643787,-0.17216866,-2.5092928,0.539454,0.003996846,"[24.43381898 23.33027345 17.61649062 17.3155071  27.78416983  0.85671376
 13.74724261 11.67212623 19.34292721 24.69817488]",18.07974447,7.515164899,27.78416983,0.856713759,16000,11318,0,141.3462963,0.593756261,6.745269004,148.6853216,606.446263,3
0.53133154,0.003426364,15.934438,1.5934438,98194.61,2398.5933,-1833.4232,1761.3032,378.2661,2558.8562,-55.06848,1818.3574,217.49107,2548.2488,856.81494,3.897527,3.916458,18.681892,-3.9662657,-0.01565967,1.705889,4.406372,-4.073835,-0.9097597,0.30760628,-0.1471211,-1.7762955,0.37196404,0.004503501,"[104.70321143 129.17938291 127.5359323  130.76166453 126.34479454
 114.9792766  123.07284057 134.58211296 123.47716215 124.10289235]",123.873927,8.107109441,134.582113,104.7032114,20000,13690,0,143.4341136,2.189751545,7.116108471,152.7399736,759.2892796,4
0.37635767,0.004187441,13.612614,1.3612614,98211.53,24412.035,-1799.2435,1713.6597,460.65842,2975.6465,-32.882446,1898.4749,358.3721,2745.6455,139.8643,5.5909452,4.196209,21.623547,-2.8034449,0.82359105,1.8069326,4.9114394,-4.0704193,-0.9655773,0.42715192,0.010056198,-2.2336438,0.316656,0.0043151,"[ 41.69903341  82.01295684  13.71775591  16.53150119  40.88706133
  19.67345648 317.78501822  15.24651608  81.44099796 306.61128128]",93.56055787,111.9429795,317.7850182,13.71775591,24000,16073,0,141.9956431,1.43400638,8.535303622,151.9649531,911.3384833,5
0.31369346,0.004146625,12.420212,1.2420212,149663.55,15684.243,-2289.4314,2178.0066,505.69037,3604.5034,-43.43756,2366.1804,421.07376,3701.5647,-329.85382,5.6650124,3.9281921,19.947615,-6.42096,0.5809738,1.947192,5.9093323,-4.578021,-0.945254,0.41305846,0.24588531,-3.0664337,0.2941875,0.00295861,"[285.92337391 277.50640497 289.4673285  301.32515378 319.09060013
 294.60902456 307.37260063 309.34957511 289.45775101 296.2088357 ]",297.0310648,11.78751893,319.0906001,277.506405,28000,18757,0,138.2897776,4.569524827,9.257368283,152.1166707,1063.53993,6
0.2953978,0.002985798,13.691562,1.3691562,54786.273,14901.015,-2737.7488,2605.398,628.1969,3915.2424,-56.776894,2668.0442,471.84882,3793.531,-112.49427,5.9608884,3.6706192,17.5176,-3.5808907,0.9159439,1.8574685,6.9506497,-4.862166,-0.9596724,0.43970966,0.12021962,-2.6836138,0.25071687,0.001525578,"[ 83.64658937 480.01587944 376.60266591 378.66371085 468.41269705
 365.36025083 375.44316956 468.91079199 366.28233722 371.97370547]",373.5311798,106.5987842,480.0158794,83.64658937,32000,21300,0,135.7193012,5.922666803,9.793030515,151.4349985,1215.05736,7
0.2172502,0.00231789,13.416191,1.3416191,93475.8,14950.486,-2660.4675,2579.415,549.0372,3217.962,-50.069206,2726.6394,363.15057,3412.89,197.4643,5.380951,3.8097835,22.936499,-3.2982368,0.81109357,1.7482315,5.7719274,-6.6595383,-1.0530113,0.42750362,0.27331993,-2.3898542,0.19167224,0.001335923,"[319.6751875   99.62280719 338.95677498  84.71258418 335.34448189
 100.91076649 395.54884316  90.56635712 376.95054118 383.95338166]",252.6241725,131.4561096,395.5488432,84.71258418,36000,23929,0,135.4377241,2.116916451,10.18949181,147.7441324,1362.889366,8
0.21357782,0.000727649,16.636826,1.6636826,127842.375,10357.309,-2313.9246,2209.344,643.9082,3107.3364,-61.63575,2319.2095,514.14417,3194.9963,-303.7246,5.2509623,3.7634046,22.091671,-4.636205,0.8290588,1.7717671,6.850341,-4.762521,-1.0380448,0.46702823,0.36572614,-2.4578433,0.14566807,0.000701721,"[248.92313505 250.70737529 256.68767529 268.1647504  231.97959951
 254.14652823 275.45371048 239.07844839 248.77843451 254.91261358]",252.8832271,11.94964177,275.4537105,231.9795995,40000,26414,0,135.7528199,4.658210273,9.173506483,149.5845366,1512.555087,9
0.14225012,0.000701782,17.053509,1.7053509,25781.654,7778.3076,-2282.7385,2222.8574,498.7885,2816.7483,-46.920464,2301.8477,364.42996,2693.3423,-34.329094,4.237398,3.675126,21.700964,-5.9373856,0.47876582,1.693023,4.9248157,-4.8435764,-0.972799,0.4151775,0.20451736,-2.4702213,0.20404704,0.00019006,"[-1.06463928 -1.42745027 -1.41491052 -1.72075987 -1.04399743 -1.36738382
 -0.61510511 -1.06974048 -1.0157947  -1.33759233]",-1.207737379,0.291739921,-0.615105108,-1.720759867,44000,29001,0,136.0813902,0.26686646,9.855872078,146.2041288,1658.848411,10
0.09838971,0.000509692,17.753044,1.7753044,13314.828,4473.1147,-2162.137,2114.025,448.31555,3276.0789,26.317543,2198.3662,388.59964,3355.1094,238.03752,5.3110237,3.0481713,18.22381,-1.4730978,0.02687881,1.918539,4.5254736,-4.3315187,-0.9254591,0.40629718,0.017957687,-2.2752798,0.09233029,0.006410585,"[42.15839129 35.84614718 34.86036506 35.33762661 31.02351404 35.17694454
 32.78249107 55.68514466 29.30384291 30.78842795]",36.29628953,7.308270693,55.68514466,29.30384291,48000,31438,0,134.9458444,1.823148219,6.757214203,143.5262068,1802.452402,11
0.065642886,0.002647763,13.78945,1.378945,42858.383,3060.2642,-2033.7351,1933.3671,563.31354,2457.985,-22.166473,2051.5742,470.8721,2473.4648,-46.880154,4.891754,3.7691748,19.31246,-4.191919,0.39426413,1.7694741,5.0340433,-4.426901,-1.017481,0.3992745,0.044923007,-2.2358932,0.07412673,0.001983705,"[14.50392016 12.67431593 15.29498781 11.05229291  9.50423406 11.15606351
 15.3884372  21.94646699 10.98239219 23.55362566]",14.60567364,4.499562652,23.55362566,9.504234056,52000,33937,0,135.3669522,1.260368589,7.846739018,144.4740598,1947.059398,12
