Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.000840813,0.6928118,0.14952566,0.014952566,147.66669,28.727133,-5.325657,0.003558436,0.00159869,0.008415287,-0.000106915,0.000113581,0.002008217,0.005039024,-0.006700429,-5.343969,0.6047572,-3.4557877,-6.993613,0.001515665,0.001634151,0.005420741,-0.00341114,0.000424268,0.001777176,0.005271704,-0.004409005,1.6890411,0.001709554,"[177.56332038  42.41356443  23.18477802  22.76385939  63.34257041
 192.02985618 103.30741227 100.16171072   6.79773851 186.52580752]",91.80906178,68.20920385,192.0298562,6.797738512,4000,5832,0,181.0158234,0,17.21999105,198.2358145,226.7880239,0
1.6925627,0.001704628,22.790974,2.2790973,181.24971,33.62452,-87.0624,75.92819,25.247452,144.70903,-20.726137,85.81979,22.354326,142.05084,-7.7285256,-2.4815352,1.7904583,2.2005134,-10.310062,-0.015121566,0.3686454,1.3618882,-1.3727616,-0.8110032,0.12576813,-0.23445654,-1.1036825,1.7717469,0.008114017,"[ 26.05023615   6.74751985   8.83916902  -4.46161843 -53.11718269
  33.60017933  57.30542469  -9.69322663  39.68610193  -1.9799271 ]",10.29766761,29.443073,57.30542469,-53.11718269,8000,9625,0,179.5102736,10.07506306,10.44044265,200.0257793,426.914904,1
1.7700436,0.008066255,21.398884,2.1398885,326.3734,88.350716,-163.18484,155.48784,30.900137,235.16779,0.046503633,168.89655,24.885178,232.26857,78.422745,-1.8407872,2.0815384,4.905369,-8.62546,0.03745662,0.49911252,1.6385403,-1.7099965,-0.8014393,0.12712449,-0.32539234,-1.2827942,1.7909466,0.002527596,"[  1.03566688  19.1321668  -33.91579431  23.34019464 -52.50516197
 -74.38668145  67.64881481 -79.97019547  19.56499592  -2.4062387 ]",-11.24622329,45.21916252,67.64881481,-79.97019547,12000,12408,0,180.75508,19.19768676,9.613187539,209.5659543,636.5733807,2
1.7862562,0.002522918,22.866196,2.2866197,177.8201,65.56425,-211.30295,200.49004,34.57323,305.7663,0.48504853,215.04408,24.087713,309.21643,120.29804,-1.9777759,2.2468772,5.3548207,-9.954056,0.026532277,0.5298688,1.8884499,-1.8100784,-0.7816998,0.1312425,-0.27049044,-1.3018371,1.7319784,0.001072096,"[-38.72676178  61.89556997  32.9019445   41.49066869  -0.5532133
   0.67775817 102.42250553  46.51837132  30.62148419  -4.92506626]",27.2323261,37.86273476,102.4225055,-38.72676178,16000,16023,0,179.6499235,15.21059865,10.2931795,205.1537017,841.8362184,3
1.7281606,0.001076148,23.897898,2.3897898,113.18805,46.165565,-234.16098,225.34372,27.888485,302.9716,131.2316,234.8648,25.780811,306.47092,145.47993,-2.1221237,2.156499,5.096643,-8.305198,-0.010665379,0.5124103,1.4781525,-1.7392429,-0.7619507,0.121833354,-0.22055128,-1.2236922,1.6328814,0.009733704,"[ -4.06551402  30.16460929  90.89326523  -9.05516889  38.6862641
  95.29956736  26.18449635 -41.85506749 -29.02612267 -52.91441313]",14.43119161,48.83234676,95.29956736,-52.91441313,20000,18923,0,179.0047562,15.06229197,10.20588736,204.2729355,1046.215329,4
1.6273801,0.0096279,20.976341,2.097634,261.3344,94.57967,-233.26913,229.77951,33.471073,318.8669,-16.4615,234.89212,32.98936,323.5096,9.31748,-1.7797935,2.3690388,15.498306,-7.804632,-0.005829659,0.5243093,2.6047223,-2.301397,-0.7722572,0.13338657,-0.21080208,-1.5167053,1.6013689,0.010436955,"[  3.61228052  12.19456573 -56.63342102  31.67607962  -4.42042162
  28.25955943 -14.57692769  24.28316685  16.83189619  10.52826752]",5.175504554,24.73676396,31.67607962,-56.63342102,24000,21623,0,182.8028871,11.5454378,11.21589327,205.5642182,1251.875961,5
1.6021931,0.010425856,19.261694,1.9261694,471.8437,77.79667,-245.73808,238.28491,39.378468,334.7862,-33.553898,249.81161,32.120586,328.76352,34.839184,-2.0297897,2.2679899,5.140923,-11.467411,0.004447718,0.49571344,2.1264315,-2.316184,-0.7723772,0.13237837,-0.26003978,-1.6348174,1.5582664,0.067302056,"[ -5.340186   138.16944506 131.9149812  101.23735688   9.96983971
 100.44044231 139.63174227 116.1631567  109.12661218  72.86412008]",91.41775104,48.57386729,139.6317423,-5.340186002,28000,24835,0,183.9725498,19.91525246,10.07689546,213.9646977,1465.965673,6
1.5474927,0.06706138,19.344318,1.9344319,126.66022,69.982475,-255.58968,248.39975,41.255817,371.69962,-18.797802,260.29688,34.222374,366.73645,153.48015,-2.2750323,1.9427384,5.057677,-7.818779,0.001919645,0.44806853,2.0312457,-1.6738119,-0.7706859,0.11397878,-0.37193552,-1.1716143,1.5598696,0.17634854,"[ 35.72760279  31.40922285 107.87181649  35.63119858  64.34976518
  90.46257379  28.43151889  62.69144539  99.59292321  25.18335074]",58.13514179,29.97975068,107.8718165,25.18335074,32000,27356,0,179.2997626,18.92225826,9.842172005,208.0641928,1674.123289,7
1.5634413,0.17535141,15.030239,1.503024,127.37198,46.187225,-238.42564,229.04616,36.294575,304.64722,28.213255,237.77087,34.521564,326.91733,82.03144,-2.1689825,1.8944769,6.6234303,-8.057707,0.031377226,0.45652655,1.8951073,-1.6273594,-0.7767085,0.1170613,-0.3411525,-1.6864685,1.5989338,0.030427625,"[ 53.1359269   65.26102598 140.06311414  92.60582384 100.90073013
  10.7781366  190.41838304  43.75998549 199.90415971  12.41340773]",90.92406936,64.18026735,199.9041597,10.7781366,36000,30612,0,180.2650575,21.76368494,11.31528387,213.3440263,1887.56213,8
1.6042929,0.030667145,18.760231,1.8760232,143.13754,41.30147,-269.89453,257.6585,50.895576,345.9616,-42.306843,268.04398,38.36138,346.2894,153.82808,-2.0954566,2.4144392,13.777977,-7.4636774,0.020394085,0.46353206,2.5980031,-2.3624983,-0.7856616,0.12529597,-0.3613073,-1.4271209,1.5586812,0.028551156,"[ 18.25590179 462.23585811 153.03518267  58.53338448  32.75572339
 243.91519335  15.18633882  19.33858157 150.33075058 400.59615963]",155.4183074,156.0581527,462.2358581,15.18633882,40000,34271,0,181.9312446,24.30930829,8.986457925,215.2270109,2102.892648,9
