Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0018217813,0.69422555,0.14797209,0.01479721,46.70729,16.16856,-3.9819906,-0.0022512947,0.0025138475,0.004002746,-0.01302879,-0.0015676554,0.0012872805,0.002257069,-0.0043354146,-4.0087533,0.5476844,-2.222971,-5.732667,-0.000108715765,0.0013636658,0.004181002,-0.0046730456,-0.0005662386,0.0011472128,0.0024465274,-0.005169934,1.116185,0.0277536,"[-176.68147304 -162.82313212 -131.92605433 -134.69176998 -145.40821626
 -166.60860951 -144.72816838 -159.0413528  -162.65548998 -163.03671473]",-154.76009811369642,13.954726129258347,-131.9260543302745,-176.68147303840618,4000,14000,0,186.53654375625774,0,12.13370274938643,198.67024650564417,224.2318981741555,0
1.1214924,0.027339641,10.77993,1.077993,66.98274,11.140207,-45.446598,40.777805,17.961557,102.1574,-15.156419,46.68647,18.072783,106.22539,-10.304118,-3.4148583,1.1387757,0.4574468,-6.0104647,0.0055068075,0.3501075,1.7192687,-1.1769842,-0.29517165,0.07782974,-0.15623376,-0.65803015,1.2590775,0.03814055,"[-107.53743752  -80.08427627 -109.28842128  -75.67491544  -69.15325952
 -146.80039312 -118.89520327  -99.35622364 -107.56259512 -107.76168299]",-102.21144081826144,21.67765378570854,-69.15325951912568,-146.8003931184388,8000,26000,0,187.03156457981095,30.042155583389103,6.247888636775315,223.32160879997537,447.6399909341708,1
1.277373,0.032901075,11.767029,1.1767029,67.1552,14.082468,-99.247925,94.26979,31.237263,183.1977,36.05584,100.23398,31.542786,189.27489,44.259483,-3.0476556,1.5417147,2.564364,-6.804138,-0.029190028,0.4472133,1.6589332,-1.6432871,-0.33671793,0.08637738,-0.08763477,-0.716629,1.4096673,0.02574269,"[-33.76866321 -16.98020005 -77.1960117  -54.66192864 -20.25635187
 -81.87233324 -44.45306427 -25.35346134 -23.96772246 -24.38064153]",-40.28903783060967,22.460796620418655,-16.980200047569635,-81.8723332425624,12000,38000,0,186.47235961584374,30.114270615857095,6.181578679941595,222.76820891164243,670.4931228985079,2
1.4093043,0.025942218,13.281265,1.3281265,62.632263,17.808714,-133.93066,129.27301,42.240784,271.20953,46.216522,135.80557,43.28236,266.66885,67.841064,-3.2598743,1.3449094,1.7769213,-7.628059,-0.07194036,0.40809822,1.6317571,-1.7478905,-0.34424224,0.08867723,-0.14676315,-0.73211396,1.4753469,0.023215115,"[ 10.54584085  37.27142214 200.56970817  19.33331714  36.11372866
  35.56601372  13.04012965 -39.66171746  40.32447268 104.09874044]",45.720165599299854,61.62294510274914,200.56970816923382,-39.66171746003335,16000,50000,0,187.00732743926346,29.70598462410271,6.11197341280058,222.82528547616675,893.4041896606795,3
1.4669424,0.02384245,14.946822,1.4946822,127.47774,12.95183,-162.3078,156.99051,48.539085,283.41388,85.95802,162.06754,49.139782,298.8394,91.71025,-3.2184267,1.3948534,1.9477053,-6.8302593,0.046453606,0.39981836,1.758706,-1.2574633,-0.33202043,0.09875174,-0.15120758,-0.7950415,1.5570865,0.021421911,"[140.07979102 240.58030136 168.53211327 108.01399601 146.93479265
  91.1531475  361.85942735  -4.80900143 154.47942644 502.0021912 ]",190.88261853666575,137.82009273189257,502.00219120208794,-4.8090014258084315,20000,62000,0,187.89768052566797,29.900995818898082,6.131760641001165,223.9304369855672,1117.4176962003112,4
1.5505717,0.021375576,16.483246,1.6483246,181.74393,14.498477,-194.50089,190.82387,54.94892,327.63672,97.83941,196.74324,54.995605,326.5769,112.95401,-3.1192887,1.2693834,2.7853668,-7.658803,0.024820572,0.42808315,1.7239971,-1.3266675,-0.34526873,0.10341434,-0.05072297,-0.87378,1.5336038,0.03014021,"[1125.81580222 1057.41400578 1009.91205917 1029.08728079 1120.49020476
 1217.52115024 1088.9481573  1035.32626134   18.09231069  956.59804938]",965.9205281664656,323.33816636329624,1217.5211502440886,18.09231069439796,24000,74000,0,187.03594610933214,29.98667796002701,6.215880207251757,223.2385042766109,1340.7547774175182,5
1.5315522,0.030231914,14.619421,1.4619421,53.48102,12.250276,-209.51338,203.33054,60.78292,362.1008,110.38847,208.46619,61.18456,358.91928,117.53277,-3.1357718,1.3853381,1.5750802,-7.57645,-0.021327076,0.4213952,2.038096,-1.5391566,-0.33819246,0.09634786,-0.13392954,-0.87926114,1.5770445,0.03206729,"[ 345.42046229 1477.05803139 1564.00451053 1404.98583175 1488.64931956
 1544.67485028 1424.39850163 1424.8591545  1595.52064989  264.6393122 ]",1253.4210624009754,478.26973818349325,1595.5206498943685,264.63931219771666,28000,86000,0,186.6105377781205,30.22968444507569,6.121593052987009,222.9618152761832,1563.8031677026302,6
1.7119061,0.028880779,17.330532,1.7330532,75.96162,16.831284,-250.59352,243.78476,78.02409,488.13678,139.87979,248.8775,77.33309,481.83664,146.5045,-2.931977,1.8771968,4.560878,-7.9214497,0.013531075,0.48068175,1.8789439,-1.817888,-0.3477986,0.10738941,-0.106454074,-0.8842462,1.6044209,0.032340888,"[1970.5148904  1372.75320807 2215.78543196 1963.63863784 2058.69719251
 1063.31804796 1895.21395774 1995.04105522 2051.12480895 2057.45835971]",1864.3545590351994,339.990427674023,2215.7854319637536,1063.3180479597474,32000,98000,0,187.76601395895705,29.743452484253794,6.424291969276965,223.9337584124878,1787.8204043027945,7
1.589783,0.03279521,15.835573,1.5835574,218.69362,32.113552,-263.87924,257.44363,89.77086,520.4503,119.80067,265.21332,90.05559,512.62756,156.82222,-2.5035925,1.9016542,4.918833,-6.6424823,-0.018255034,0.5411281,2.111793,-1.7452115,-0.37741408,0.12737581,-0.11921927,-0.9974625,1.7442287,0.015829071,"[2646.95519982 2754.29749052 2623.06783296 2433.71559212 2774.78783467
 2680.9185814  2615.13462743 2639.81544799 2620.69247865 2594.9336539 ]",2638.4318739465734,88.76475854145443,2774.7878346698167,2433.715592118263,36000,110000,0,186.6866666013375,25.83375793788582,6.29637974081561,218.81680428003892,2006.7256689369678,8
1.7438787,0.015827738,19.349184,1.9349184,111.800705,28.382107,-309.6039,303.37518,122.33781,668.27966,164.52547,311.71466,121.580025,662.92017,178.52582,-2.1862736,2.3340807,7.8983955,-10.536825,-0.055970844,0.61097825,2.001724,-2.1186988,-0.4013512,0.14681602,-0.15798664,-1.1409681,1.7837355,0.01542698,"[1276.97403439  367.35047825 1772.36154443 2813.16835161 3053.24239124
 2760.184908   3039.91557931 2616.18406667 1177.46491639 2531.74304968]",2140.8589319969483,883.7750355690176,3053.2423912401996,367.3504782461374,40000,122000,0,185.49465434718877,30.160845027770847,6.231713667977601,221.88721304293722,2228.6971222078428,9
