Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.002021006,0.69310147,0.1492157,0.01492157,40.878,4.2455363,-2.0331554,-0.000678329,0.001057699,0.001911203,-0.003566013,0.007816033,0.001137576,0.011307679,0.005304578,-2.0277705,0.37902874,-0.88277936,-3.5962255,0.000165736,0.000852865,0.00130509,-0.002258389,-0.000421091,0.0009821,0.001921218,-0.002246929,0.07111366,0.003903663,"[40.23408686 42.24789848 39.92829094 38.63446609 42.12624364 38.8728179
 40.04877495 42.00108739 38.29758202 41.84444294]",40.42356912,1.458833069,42.24789848,38.29758202,4000,4277,0,176.0373765,0,7.959867663,183.9972442,184.6123635,0
0.07138854,0.003860358,11.81146,1.181146,4311.0347,141.29507,-224.54485,212.63206,104.54895,453.43964,-25.079296,230.89713,94.32645,467.81442,-32.808376,3.4377246,2.0874636,9.642677,-3.007005,1.5215436,0.56612134,2.7222805,-0.7331035,-0.5800118,0.09521374,-0.2338996,-0.7869123,0.24216607,0.001796479,"[189.99976712 194.60538849  46.32682436  58.68293138  53.32981211
  52.32384185 196.18072904  20.00768175  53.40949762 179.54123532]",104.4407709,70.73821614,196.180729,20.00768175,8000,6577,0,175.541954,1.207653217,4.31712906,181.0667363,365.7607242,1
0.24355629,0.001793724,15.419032,1.5419033,13620.149,1955.8047,-537.49286,531.3772,233.99384,1114.7838,-40.993496,553.1424,239.01157,973.3195,-154.27914,2.6867218,2.9236155,13.152538,-5.2081723,0.36036745,1.3690355,3.4879618,-3.0101192,-0.82517505,0.2995277,-0.08788031,-1.7598587,0.3242457,0.00314548,"[174.36930173 208.1560649  128.1899737  184.01498474 211.43132366
 131.92629467 217.50360095 182.53837862 206.26304591 145.49109191]",178.9884061,31.79185348,217.503601,128.1899737,12000,9094,0,176.992687,2.2349455,5.499787164,184.7274197,550.5750608,2
0.32419246,0.003158251,14.536866,1.4536866,12445.682,1066.0841,-920.38074,880.3689,222.24818,1342.0507,-89.66721,936.94836,184.85733,1289.4901,-101.17318,3.2123222,3.0298855,12.740559,-4.305993,0.5360258,1.4799035,3.8671958,-3.576594,-0.88791275,0.3279155,0.019473374,-2.518212,0.37063357,0.006767616,"[155.15476276 197.95817988   8.1728674  153.38051634 201.03914197
 152.21026555 233.9069407  167.2086149  166.52699196 169.51514036]",160.5073422,56.52366956,233.9069407,8.172867403,16000,11705,0,175.37727,2.09697767,5.848545718,183.3227934,733.9860272,3
0.37047553,0.006746447,13.732788,1.3732789,30991.629,3524.9019,-1019.01166,982.2627,266.2124,1450.7656,-38.127056,1027.8635,200.29782,1532.6252,0.4866857,3.0765479,3.380565,16.187868,-8.384087,0.039932728,1.5033963,6.3387837,-3.7976468,-0.97469836,0.39099172,0.07278858,-2.310972,0.37928793,0.002805954,"[2.50733714 2.96525306 3.60501299 1.82328557 5.27759336 3.27424885
 3.68101879 3.87764368 3.55069724 2.81477522]",3.337686589,0.876844564,5.277593355,1.823285574,20000,14206,0,175.2737289,0.61491376,5.64994293,181.5385855,915.6024556,4
0.3786349,0.002793529,16.088865,1.6088866,20034.1,943.6896,-1075.6991,1044.5322,334.19254,1507.9673,-42.249435,1066.9824,287.00092,1516.3047,22.445223,3.0251594,2.8465137,14.1003895,-7.4444284,-0.058291614,1.4411803,3.6721427,-3.422292,-1.0111742,0.46608773,-0.20377633,-3.2448213,0.339125,0.001254035,"[2.84692304 2.84253441 2.86821708 2.39367001 3.45210183 3.34385739
 3.3707048  4.51870986 2.74388577 3.16835127]",3.154895545,0.552609877,4.51870986,2.39367001,24000,16449,0,175.3561411,0.60817244,3.916965731,179.8812793,1095.565335,5
0.34083903,0.001260776,16.753056,1.6753056,7202.938,764.4408,-1137.955,1096.9377,308.18018,1397.5818,-86.76446,1154.8096,263.5964,1419.2125,-122.48944,2.8527555,2.8666513,13.844654,-4.7153068,-0.03644528,1.4074119,4.207264,-3.7476468,-1.050066,0.46090034,-0.0375465,-2.9015083,0.34135884,0.002308011,"[14.84459133 11.73350221 13.30006133 13.71945065 13.95563113 13.57312236
 13.28919353 14.61013684 13.53466697 15.05891938]",13.76192757,0.908390612,15.05891938,11.73350221,28000,18848,0,175.8929037,0.295928325,3.759104835,179.9479368,1275.594235,6
0.34309134,0.002307257,14.966728,1.4966729,6664.369,1250.7307,-1139.2057,1089.6915,384.75906,1419.2058,-26.18502,1129.7032,330.8365,1398.785,-22.60395,3.902131,3.2983255,16.961136,-4.8742685,0.12664723,1.6168524,4.623725,-4.675821,-0.96920323,0.42045346,0.12042296,-2.6658568,0.31675756,0.002525476,"[ 41.87112966  40.16815489  39.59733097  35.55286226  31.85932853
  35.98248507  41.73648812  41.01588681 111.52645602  38.38072492]",45.76908473,22.1263633,111.526456,31.85932853,32000,21406,0,178.8851856,1.571194533,5.97371756,186.4300977,1462.104699,7
0.3163412,0.002522247,13.932556,1.3932556,6512.4775,370.08154,-1111.4015,1083.8154,331.55273,1344.4491,-98.584526,1109.4655,304.826,1329.5142,-105.278,3.252328,3.0277877,13.470177,-3.7018933,0.123359,1.4219387,3.8041105,-3.4117014,-0.99897075,0.4226274,-0.14349762,-2.6053069,0.27550918,0.002047405,"[248.01103699 252.65677846 324.73070974 258.09445609 251.84971979
 235.17386193 240.00281286 256.58845341 246.17862369 241.55409389]",255.4840547,24.11014026,324.7307097,235.1738619,36000,23830,0,176.7724512,3.241732442,5.259047242,185.2732309,1647.462249,8
0.27444422,0.002051849,15.205363,1.5205363,4788.2646,4542.1377,-994.27124,963.04236,320.6826,1281.3522,-43.444874,1034.0181,289.02887,1338.2472,-35.646603,3.0575867,2.9703796,13.933308,-5.0988355,0.45584092,1.4213538,9.419234,-3.199865,-0.9920146,0.45345065,1.6006522,-2.9019399,0.2623216,0.003160837,"[265.63362943 252.78830898 273.0180155  260.96319246 261.03190195
 248.90037639 292.8922096  279.1977067  263.4534977  271.77571188]",266.9654551,12.2240623,292.8922096,248.9003764,40000,26211,0,177.5080203,3.121374492,5.743005265,186.3724,1833.91568,9
