Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.001710915,0.6929817,0.1493422,0.014934219,48.016277,28.137676,-5.2688565,-0.013576328,0.001662409,-0.009497662,-0.020241419,-0.001221526,0.002101207,0.00416992,-0.007149723,-5.3011913,0.6033106,-3.7279606,-6.8028903,0.000155674,0.001549296,0.004443978,-0.004172774,0.000147338,0.001343134,0.0033795,-0.004493091,0.08375068,0.006429388,"[ 52.57680443 127.11332454  74.27185542  57.21932037  -1.31848895
  26.30312986  18.59944144  12.16255967 107.00190924  15.52016421]",48.94500202,40.78490989,127.1133245,-1.318488947,4000,7000,0,123.0696485,0,30.99463523,154.0642837,166.5102695,0
0.085030824,0.006409418,10.2189865,1.0218986,143.78802,33.843353,-60.64493,55.327568,23.898285,113.15752,-29.417454,59.33542,21.96989,107.609215,-31.244488,-2.6689954,1.6823254,1.5249523,-8.948553,0.011762233,0.404579,1.2924107,-1.464595,-0.746586,0.10628098,-0.4132852,-1.0970511,0.17380162,0.00358037,"[ 22.49783228 -45.83483893   8.73884156 -11.78724246  17.94737442
 148.12894761   8.5115196   -7.64029873 -78.04361716 -47.52116593]",1.499735224,57.91716515,148.1289476,-78.04361716,8000,12000,0,122.321612,12.44894833,25.12967685,159.9002372,332.259068,1
0.17324594,0.003575676,11.807198,1.1807197,209.79443,70.16202,-102.73893,97.31128,30.892776,190.84755,-10.72219,104.97782,26.586487,208.78287,6.201895,-2.1403828,2.148826,5.874132,-8.230244,-0.028139975,0.49209496,1.5799152,-1.9559181,-0.7630995,0.13742839,-0.39410028,-1.2131187,0.24830571,0.007606995,"[ -89.92913467  -58.86195087 -146.0202839    27.79307019  -20.51017095
  -19.29345171  -79.46478788    9.09769787   35.14995333   37.09971343]",-30.49393452,58.43782091,37.09971343,-146.0202839,12000,17000,0,123.9824956,18.29809045,23.1197129,165.400299,497.8729549,2
0.24084973,0.007900812,10.38657,1.0386571,191.04214,65.96287,-129.9924,125.6443,35.936962,182.22464,-18.154387,133.25455,29.12214,192.01135,-6.9372087,-2.121131,2.1497214,8.813948,-7.1292076,-0.000820591,0.4827601,1.8056209,-2.252897,-0.74532235,0.19330612,-0.23747626,-1.5718069,0.3226971,0.010043765,"[   3.31763623  -52.25346085 -165.97536513  -12.74516609 -205.5709627
 -227.63957066 -146.63526851  -65.18265344   23.92199991 -118.86518541]",-96.76279967,84.47033058,23.92199991,-227.6395707,16000,22000,0,130.7860498,18.51257137,23.58060143,172.8792226,678.1387837,3
0.32143873,0.009999362,10.417576,1.0417576,220.12698,55.865746,-147.10097,142.65405,37.32608,216.88016,-17.298553,149.64017,29.541142,217.16461,-15.334118,-2.22862,2.2073662,3.640186,-10.259195,-0.038704533,0.4784508,1.9223268,-1.8649889,-0.7348311,0.19009574,-0.27298057,-1.6592216,0.3644764,0.011190532,"[ 31.8295089  -70.72943398  40.72633541  -0.50741129 -49.8853661
  18.55264369  61.35180361  -1.99664235  72.73399798  15.07125621]",11.71466921,42.91909311,72.73399798,-70.72943398,20000,27000,0,131.2261851,25.89821292,25.66551498,182.789913,849.4518667,4
0.36764115,0.011161178,10.390575,1.0390576,219.66113,45.231075,-165.32121,160.56381,36.541515,235.49922,-22.418514,164.1188,32.198853,242.52318,-16.75799,-2.3940628,2.271951,9.620693,-8.029825,-0.000903527,0.44582042,2.5591419,-1.8311666,-0.7064431,0.20180348,-0.22288552,-2.0494075,0.42499432,0.006183776,"[ -0.71951361  18.70249054  94.57733198 -71.97073122   3.91019029
  24.10150871  60.93998951  22.25768483 237.61994684  45.24027917]",43.4659177,76.74456324,237.6199468,-71.97073122,24000,32000,0,129.9317225,14.42248034,24.42571962,168.7799225,1023.981924,5
0.42469472,0.006180788,12.26118,1.226118,136.84729,42.10608,-179.58405,175.00179,39.054348,256.9231,-11.174517,179.64398,31.195425,255.56346,-4.349333,-2.4380784,2.4640496,8.556068,-7.8731527,-0.026553445,0.44837537,1.7427495,-2.0330796,-0.73685,0.22799897,-0.27918708,-1.8988283,0.4504723,0.007186855,"[ 24.47244752  21.76455555 215.19018314   2.49673521  17.24702525
  30.53280282 151.65447766  68.18578319 -19.03126553 248.785812  ]",76.12985568,89.75675951,248.785812,-19.03126553,28000,37000,0,132.6645524,20.17307231,25.24913784,178.0867625,1203.748419,6
0.44779652,0.007184035,12.165957,1.2165958,175.91783,70.363754,-190.35194,183.54425,42.57729,252.0089,-27.419626,191.65385,33.35852,251.90836,15.388095,-2.2993069,2.3780968,7.0864162,-10.225211,0.022317462,0.42835408,1.7194912,-1.5832372,-0.7740879,0.21689774,-0.24525942,-1.8721459,0.45592386,0.022035312,"[228.06148228 102.54195248  -8.68430981  31.66950638  46.1010976
  13.54972258  47.03160111 114.17789842 182.17200719  25.82006254]",78.24410208,73.34484133,228.0614823,-8.684309806,32000,42000,0,130.2975766,21.85347949,25.74895717,177.9000132,1381.841074,7
0.45486432,0.022142444,11.843322,1.1843323,155.35262,43.254677,-205.7564,203.55139,35.919403,299.36923,1.4743106,206.5678,32.501827,287.38577,-7.6294994,-2.3024526,1.987922,6.836476,-7.591044,0.02274612,0.4194047,1.8833025,-1.8201888,-0.77294755,0.18830407,-0.19281426,-1.8948393,0.4833518,0.011805141,"[ 37.51929321 182.07695464 258.93693614 179.54435885  54.37757708
 -37.38090056 434.43603808 123.45782327  80.37415421 333.79444078]",164.7136676,137.3855149,434.4360381,-37.38090056,36000,47000,0,124.0663548,22.04604514,24.9683223,171.0807222,1557.603515,8
0.4825657,0.011826336,12.332348,1.2332348,150.02525,55.46862,-229.68102,223.60959,46.04305,326.92947,-30.71513,232.21626,33.99306,318.19278,8.068067,-2.1944544,2.5114117,9.697251,-7.608303,0.028482947,0.44470462,2.049109,-2.395031,-0.7798243,0.18404032,-0.27578378,-1.8268155,0.49576682,0.021422016,"[155.53488848  91.03082944 312.64053801 241.51590443 306.44445142
  75.07994775  95.66420806 212.50051329 349.92334286 176.71233977]",201.7046964,94.46206242,349.9233429,75.07994775,40000,52000,0,124.113277,26.72772528,23.83821051,174.6792128,1732.498857,9
0.49584684,0.021468107,11.621584,1.1621584,174.32169,72.44249,-249.05316,244.1824,45.521988,317.29407,-40.6178,245.32019,41.007687,314.56238,-10.859045,-2.1453886,2.3216941,10.085251,-9.008323,0.025634076,0.41964123,2.1362522,-2.286629,-0.82605517,0.17562397,-0.35380062,-1.7028874,0.50889146,0.034922574,"[168.22960908  68.57323926  97.20257368 222.0980415   47.35014032
 132.56185474 454.43012876  23.26191993  26.65585595 105.14388673]",134.550725,122.2164909,454.4301288,23.26191993,44000,57000,0,124.6672919,26.9451228,25.12280134,176.735216,1895.937935,10
0.50894034,0.034970883,10.956755,1.0956755,145.74893,47.412853,-259.63885,253.38507,56.917816,343.80466,-37.611637,258.11636,46.830547,343.219,-22.99261,-2.4047265,2.7094958,12.471117,-11.433502,-0.012259796,0.44195324,2.2753315,-2.0683863,-0.7886828,0.19329846,-0.26397967,-2.0418847,0.5087822,0.036160573,"[108.60493362  48.65165616 143.339735    33.61305448 159.52019845
 649.79075624  85.99892858 138.24640508 125.35010815  22.17529441]",151.529107,172.2249772,649.7907562,22.17529441,48000,62000,0,123.8506662,13.6498152,25.59022157,163.0907029,2068.857451,11
0.5075644,0.036177013,11.3779125,1.1377913,215.7384,57.0638,-262.51126,261.28668,62.785877,354.58948,-29.98668,259.9297,60.091385,353.96283,-16.455694,-1.9458406,2.8434598,13.113173,-9.213228,0.02388841,0.47263178,2.6770647,-2.635378,-0.80444455,0.19246931,-0.24876772,-1.9235326,0.528853,0.01850233,"[130.96512106 405.55519447 253.40258162  42.75532875 217.72023207
 414.79825833  53.76083585 175.07463884  29.599839    35.23863588]",175.8870666,139.0770026,414.7982583,29.599839,52000,67000,0,123.4756638,23.47902419,24.95508074,171.9097687,2239.362737,12
0.5276619,0.018490044,12.672764,1.2672764,226.56187,74.39109,-283.30185,278.27008,61.47854,375.90338,-75.20094,283.7173,54.720932,370.8687,11.772729,-2.2038217,2.6763227,14.547447,-8.048466,0.015631905,0.44548765,2.5912402,-2.7440994,-0.8005626,0.18033475,-0.17954418,-2.0276196,0.5083598,0.02064883,"[ 80.51612775  75.96538898 107.21465415 112.51421914 247.97026379
  93.61438106  59.41477497  25.69918862 351.21962586  58.19389458]",121.2322519,95.1948804,351.2196259,25.69918862,56000,72000,0,125.0597324,22.07505171,25.00921943,172.1440036,2411.943416,13
