Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.001245751,0.69295514,0.14937219,0.014937219,30.614424,16.36408,-4.0074687,-0.003765408,0.002150402,0.001970726,-0.008826294,-0.003524566,0.00127632,-0.000208678,-0.007591156,-4.0296206,0.5254945,-2.448501,-5.336877,0.001054045,0.001682674,0.007478892,-0.002216274,0.000483358,0.000978893,0.003295968,-0.002030942,0.628561,0.027482351,"[-282.83767511 -290.29498025 -288.35996893 -299.71675192 -285.40588017
 -278.82270476 -273.90804956 -300.54071864 -281.29473746 -258.75060161]",-283.9932068,11.64507287,-258.7506016,-300.5407186,4000,7000,0,110.2150637,0,22.93132338,133.1463871,156.4691909,0
0.61568946,0.028527137,7.506925,0.75069255,178.4768,91.35954,-66.59576,63.76955,20.55064,113.28124,7.455209,72.24949,20.661192,115.14223,14.871356,-0.9560207,2.5059512,5.9273434,-6.7857504,-0.12984331,0.86047906,2.0160275,-2.642189,-0.31558552,0.1337712,-0.059776537,-0.76984066,0.9986416,0.027677152,"[-302.34043717 -406.83261832 -406.99721955 -438.6178349  -337.54477525
 -346.92335863 -403.27890917 -400.42785756 -350.16679193 -381.32558426]",-377.4455387,39.49447756,-302.3404372,-438.6178349,8000,12000,0,112.7249817,23.32745659,16.0349581,152.0873964,307.9255045,1
0.99792844,0.027689924,9.329681,0.93296814,231.60794,28.55466,-129.86415,123.91619,20.540236,208.16814,47.61658,128.9472,20.453411,210.2953,64.103386,-1.7842556,2.047518,4.4983897,-9.7208,-0.079125896,0.73489505,1.9243048,-2.261077,-0.27527812,0.12119935,0.061163895,-0.7404426,1.352073,0.018047396,"[  -5.29420221 -156.48259271 -134.03712234   -1.63598733 -108.16507388
   94.23408969  -83.30645074  -20.57297564 -163.94716736 -220.2607476 ]",-79.94682301,90.50134887,94.23408969,-220.2607476,12000,17000,0,115.2234985,22.69395994,16.82628981,154.7437482,462.7646944,2
1.3512412,0.018025516,12.646511,1.2646512,65.69432,13.53095,-169.8218,167.72607,42.624184,315.1617,104.69985,170.32433,42.162556,314.13495,110.571175,-2.3928812,1.9543785,4.890258,-7.4958344,-0.13078327,0.6014988,1.8279668,-1.6683878,-0.29952264,0.14448848,0.07742707,-0.94793475,1.5462358,0.009479667,"[1.04357422e+02 8.29185157e+02 2.04116706e+02 8.85620906e+02
 7.19014577e+02 8.45949757e+02 2.66373840e+02 1.16096788e+03
 7.38484213e+02 3.74814194e-01]",575.4445271,375.4778213,1160.967879,0.374814194,16000,22000,0,110.8962363,22.79065038,15.90151105,149.5883977,612.4083675,3
1.5487229,0.009477184,15.452665,1.5452665,67.18808,19.785416,-221.34027,220.15317,79.47603,387.4206,108.2124,219.7443,78.42544,389.1361,109.648636,-1.9174757,2.1933498,5.835287,-7.962221,-0.042990208,0.6651067,2.0532029,-2.0324678,-0.35423145,0.18612057,0.09108853,-1.0839621,1.745553,0.005873815,"[1857.15735346 1714.53801862 1845.66297244 1797.54780839 1919.82797648
 1794.05287376 1698.76153223 1839.35469355 1649.08034692 1799.90481242]",1791.588839,78.05334045,1919.827976,1649.080347,20000,27000,0,113.8979876,22.84663489,16.03130231,152.7759248,764.5886087,4
1.7473576,0.005906866,18.712698,1.8712698,81.29608,21.226429,-282.77008,281.492,114.028465,489.03992,126.96365,283.18365,114.066284,493.8458,133.20044,-1.4046888,2.4597247,6.5841284,-8.596814,0.012249689,0.7089112,2.2666492,-2.1316712,-0.3894161,0.20671816,0.039595738,-1.2511321,1.9102243,0.004589133,"[2468.12928414 2380.89856258 2331.94889278 2443.38615637 2509.31682747
 2336.45320217 2371.76987537 2382.90445239 2528.11959371 2244.455962  ]",2399.738281,83.1896815,2528.119594,2244.455962,24000,32000,0,115.1550712,22.25010385,16.2246371,153.6298122,919.1265194,5
1.9107635,0.004586278,20.624924,2.0624924,123.52498,31.828794,-387.9629,382.90344,157.96204,626.8578,134.73064,384.8045,155.61346,622.63904,144.9738,-1.0381448,2.6682339,7.850091,-6.667865,0.009502257,0.78162557,2.3151317,-2.4185295,-0.43612465,0.21884194,0.031076074,-1.3481383,2.0359802,0.01664384,"[2719.14271542 2917.2033017  2730.75649807 2820.12631663 2792.9247871
 2969.21335084 2956.01755633 2660.11076111 2942.25774435 2830.0372841 ]",2833.779032,103.8254371,2969.213351,2660.110761,28000,37000,0,114.9134054,23.15865489,16.04918752,154.1212478,1073.434709,6
2.0336952,0.016701246,19.950933,1.9950933,136.25708,65.81027,-453.71738,446.81158,196.09023,761.3243,135.49709,447.89954,193.4754,747.9191,140.80939,-0.8918572,2.721726,9.734151,-6.7928967,-0.019431265,0.77395827,2.3524032,-2.117918,-0.4843755,0.24199,0.13079198,-1.6417655,2.2100582,0.007541857,"[3151.57828294 3241.32545481 3382.57761737 3431.30420083 3503.40524302
 3353.73553926 3422.46849557 3353.31014662 3515.93891539 3346.91463218]",3370.255853,105.4063655,3515.938915,3151.578283,32000,42000,0,113.9565838,23.34577885,16.10774798,153.4101107,1226.358931,7
2.21005,0.007544681,23.19463,2.319463,147.64453,41.245598,-569.87616,565.13226,251.48866,954.66144,158.21219,568.6189,248.75885,933.09656,155.3033,-0.5360782,3.091602,12.133513,-8.334568,0.043735627,0.8684841,2.8035772,-2.253933,-0.5132446,0.24622673,0.015334114,-1.5874217,2.3629317,0.006886994,"[3594.32537675 3795.15757598 3494.79395019 3931.25831927 3421.38713452
 3751.49006873 3754.47476048 3702.41544822 3752.41916563 3895.32665373]",3709.304845,154.6273528,3931.258319,3421.387135,36000,47000,0,113.9084168,22.86210472,16.91102146,153.681543,1379.671661,8
2.3656452,0.006881952,25.292015,2.5292015,185.92572,139.9944,-702.0062,692.3939,286.06174,1095.758,181.33258,692.11523,282.3599,1075.938,185.51343,0.22556522,3.1298044,12.58712,-8.339167,-0.012579516,0.93578374,2.6190236,-2.418634,-0.54409164,0.25289547,0.16135123,-1.750263,2.4910617,0.008008067,"[3879.74907573 4015.19282022 3827.8469857  4132.09878097 3876.96494965
 3826.19526649 3893.62884471 4000.07590816 4165.95458462 4024.14263897]",3964.184986,115.6438631,4165.954585,3826.195266,40000,52000,0,114.1417476,22.4933194,15.80332975,152.4383967,1532.093329,9
