Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0025329944,0.006951236,9.939492,0.99394923,44.933277,4.2028666,-2.0157986,-0.0014829484,0.0012278939,0.0012259898,-0.0046781963,0.0021283808,0.00053024193,0.0040037325,0.00075049314,-2.001243,0.384739,-0.9692137,-2.7174616,0.0016940795,0.00089419755,0.0037046832,7.128809e-05,-0.0005464296,0.0013865294,0.001534427,-0.0032306274,0.0030639805,0.006929914,"[38.27959207 38.50242521 39.98521037 37.13770511 40.31017018 37.08773883
 40.07255092 39.90090533 38.44317094 38.16511761]",38.78845865713798,1.1445621154422052,40.31017017931398,37.0877388297043,4000,7145,0,125.45487120421603,0,6.543073508888483,131.99794471310452,132.48175792908296,0
0.0030618599,0.006928841,9.947817,0.9947817,1413.5459,198.90645,-245.38979,244.11032,111.53585,485.23834,-4.117668,251.40787,103.199875,477.1452,0.04434264,2.3030396,2.179302,9.797412,-5.227657,1.2272191,0.82520235,2.732096,-1.4122589,-0.46933356,0.19508167,0.16956139,-0.8411695,0.016537333,0.006054222,"[9.0196931  9.15881779 8.75332045 9.28337937 9.27428976 9.02787033
 8.88401176 8.90210225 8.73420631 9.06121009]",9.009890121097019,0.18418177592287385,9.283379373943387,8.734206307307025,8000,12257,0,127.09448166191578,0.4871338768862188,4.1456115185283124,131.7272270573303,264.3453832506202,1
0.016551718,0.006053843,10.2849865,1.0284986,37339.45,19649.547,-562.8916,597.1515,139.77647,781.045,-5.5925426,624.60876,88.43658,771.8933,59.15683,3.8059378,3.0202448,16.226171,-4.283923,0.43768716,1.6724453,4.035545,-3.0425537,-0.7489686,0.25145832,-0.06005192,-1.9144306,0.01813079,0.0055305865,"[7.28831703 7.4297073  7.35002677 7.5407983  7.42692322 7.58195484
 7.28187628 7.35281558 7.45775872 7.34294185]",7.405311987789434,0.09591591645023274,7.581954839363923,7.281876282435492,12000,17324,0,123.40068397298455,0.6225853278301656,4.274484917521477,128.2977542183362,392.39632783737034,2
0.018147504,0.005530362,10.509562,1.0509561,78617.03,21168.836,-884.5574,884.6505,280.4538,1269.8735,-0.79055196,961.9404,245.02051,1333.7538,2.6069305,6.4037256,2.9241416,16.32772,-0.051041722,0.48535267,2.0658686,3.6256704,-3.4153023,-0.76005775,0.2377778,-0.19562402,-2.3564632,0.01852807,0.0051489165,"[291.2431042  287.23057599 289.09644395 278.22591991 288.54250099
 282.87938783 284.14525932 291.72916269 299.5736834  286.18734289]",287.8853381165647,5.479321355773043,299.5736833976651,278.2259199131301,16000,22374,0,124.22806076472625,0.3792846747674048,4.364053412806243,128.9713988522999,523.4708284279332,3
0.018514538,0.005149115,10.686667,1.0686668,61874.785,5974.3696,-1578.2968,1508.1521,645.93646,2578.541,-41.206474,1614.5234,545.2769,2526.3494,0.07556768,4.766613,3.881454,17.71436,-3.4738064,0.5266488,1.8051425,4.1977677,-3.4416804,-0.91082096,0.39422685,-0.21318129,-3.009953,0.016491184,0.0047690338,"[  44.74862725   46.65597751   44.40877371 1036.46394279  440.22648899
   44.85516728  362.4554827  1036.05574021 1034.23879277 1036.44883334]",512.6557826539026,446.84697994599725,1036.4639427880818,44.40877370937429,20000,28138,0,123.32603767514229,2.4816839480772614,4.2481232061982155,130.05584482941777,658.80516571505,4
0.016472202,0.0047689797,10.877136,1.0877136,32288.922,7145.6465,-2283.713,2142.4248,857.26776,3444.9788,-7.7950068,2339.4592,720.8946,3638.5364,3.8204691,6.290758,3.9683366,17.875221,-3.7908711,0.014471885,2.0614388,4.3785295,-3.6728044,-1.0993266,0.5435687,-0.19950174,-2.7573366,0.016479712,0.004441605,"[342.93675566 350.156446   344.68028157 460.85831682 330.55568984
 330.93388215 518.4468266  306.50034821 501.47655778 547.71679011]",403.4261894749711,87.67521330768216,547.7167901109996,306.5003482061713,24000,33929,0,125.8848784849979,7.76073833508417,4.73040281701833,138.3760196371004,793.5612284853123,5
0.016468307,0.0044415668,11.054239,1.1054239,24607.96,4351.934,-2671.668,2529.231,926.1192,3783.1194,-87.734535,2690.981,767.7408,3851.5852,0.09409363,6.2235537,4.1430063,19.074928,-2.5115902,-0.06073628,2.054779,5.8472633,-3.7610626,-1.1128932,0.60607696,0.105217144,-3.4121943,0.013608465,0.0041607255,"[160.47688319 190.99953041 259.17224858 258.23862377 296.24267328
 332.57067993 270.50395399 240.36892154 180.69382646 142.74063683]",233.2007977972168,58.82406435421175,332.57067993206687,142.74063682964535,28000,39846,0,125.34922211105004,4.144045192282647,4.606328206602484,134.09959550993517,926.6475834073499,6
0.013599085,0.0041606403,11.216784,1.1216784,159080.45,5396.806,-2855.093,2720.8696,935.9342,4846.3857,-44.854774,2827.0527,792.128,4832.8926,0.09844068,5.9900723,3.573848,18.539047,-1.7956243,0.17064351,2.0384324,4.585644,-4.1611023,-1.1047777,0.57275814,0.2086118,-3.236217,0.010098422,0.0039121443,"[15.79898062 18.27016657 21.24705637 16.96814038 18.57633229 24.14906522
 24.06397062 18.40049091 17.90095824 18.65635819]",19.403151940549847,2.6898539358584994,24.149065224452535,15.798980617608832,32000,45357,0,124.89325641840696,3.1285566398873925,4.642287567257881,132.66410062555224,1057.1333423717879,7
0.010092113,0.0039121667,11.36977,1.1369771,50426.344,8273.847,-2883.2957,2773.8843,862.4216,3595.4775,-30.278051,2862.843,717.04895,3678.112,0.10640054,4.8766975,3.9549558,19.720938,-2.688651,0.21281745,1.6620592,5.6699004,-3.7239888,-1.4526826,0.7316615,0.49268436,-3.7937894,0.0073657758,0.0036495153,"[370.48069709 370.7816633  323.92701232 326.39483519 392.96767463
 389.62428977 316.98514469 347.0006221  301.1031915  388.51930212]",352.7784432716676,32.25067497479747,392.9676746265089,301.10319150415523,36000,50857,0,123.71607083966956,0.9512554872781038,4.286442965269089,128.95376929221675,1189.0838551404886,8
0.0073356167,0.0036494867,11.542551,1.1542552,22902.805,7697.4233,-2735.9502,2653.0405,829.68994,3410.8093,-53.15991,2795.6108,735.75555,3484.5676,0.15232116,4.7250767,3.5478427,16.169939,-1.9696949,0.24901192,1.6704705,5.1624303,-3.7610574,-1.2862438,0.68533176,0.14295208,-2.8633542,0.005704402,0.0034377459,"[ 22.56830232  18.69909114  35.1421334  683.93750999  32.79253379
  32.41372948  34.59129858  33.68219888  34.13939529  34.44047481]",96.24066676856835,195.9720656628617,683.937509994281,18.699091138817156,40000,57132,0,124.4300374481827,3.9552348060533404,5.2743709166534245,133.65964317088947,1320.8930318835191,9
