Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.001685452,0.69303787,0.14928524,0.014928524,62.066574,4.1228385,-1.9915178,-0.003762288,0.001011359,-0.001112619,-0.007547663,-0.006329892,0.001003332,-0.003244627,-0.008738765,-1.9834275,0.36258647,-0.8575752,-2.7217538,0.000963985,0.000861716,0.002939491,-0.000466004,0.000318784,0.000684342,0.001978698,-0.00161943,0.021861149,0.033263285,"[ 76.24310483  88.04802022  82.93212339  75.64549674  72.79338873
  80.01205872  68.16121067 100.49288434  82.53204874  71.42538272]",79.82857191,8.933845903,100.4928843,68.16121067,4000,7000,0,115.232639,0,16.94719579,132.1798348,134.1594197,0
0.026360303,0.03554153,5.9457684,0.59457684,1319.5394,118.015724,-41.938778,49.15762,66.52813,325.24246,-9.532064,49.495796,65.99681,321.71146,-6.333321,-0.65763557,1.8343626,5.405011,-3.8332195,0.39570293,0.62214774,2.197949,-0.70316976,-0.32744083,0.23292267,-0.041980803,-0.9766969,0.006443251,0.003373707,"[226.8818016  221.68791466 212.19317846 215.78002941 223.23811923
 215.4763203  207.03367573 212.19413128 208.97450168 218.63876178]",216.2098434,6.072320991,226.8818016,207.0336757,8000,12000,0,119.1294055,1.982231793,13.2039601,134.3155974,269.0763916,1
0.004090161,0.003371355,11.958113,1.1958113,1438.5701,510.94482,-159.14311,155.42874,233.77751,805.5712,-5.2545786,164.66971,240.86467,823.8211,-3.058348,-0.3606392,2.3804336,8.50426,-3.3966057,0.11561241,0.6260669,2.9420984,-3.3633614,-0.67399615,0.7179618,-0.05944518,-2.7948673,0.011693282,0.001594304,"[120.75842468 141.9122783  126.31247862 143.0078977  134.39048665
 134.11080702 147.58319429 136.38883358 146.57158332 131.9022031 ]",136.2938187,8.236428457,147.5831943,120.7584247,12000,17000,0,114.4253677,2.583293828,12.22064929,129.2293108,398.3075887,2
0.013150783,0.001592796,14.112761,1.4112761,219833.5,11005.696,-415.82944,448.40622,508.93936,1417.097,-9.398826,485.8679,540.0986,1490.8301,-3.2524555,0.6536578,3.083778,10.033824,-6.156716,0.21914427,0.8754467,3.3182673,-2.765216,-0.8539937,0.7677504,0.07321882,-2.591444,0.12677899,0.000355734,"[255.48102775 189.06301531 182.62180042 192.72876354 195.66137236
 198.81873991 190.65433817 187.70946172 194.22635054 184.67004254]",197.1634912,19.99784331,255.4810277,182.6218004,16000,22000,0,110.2284297,2.587037445,13.02502937,125.8404965,524.1287093,3
0.128076,0.000355804,18.65907,1.865907,8952.242,4650.817,-689.9177,648.7982,848.4374,2519.5767,-9.232361,706.56494,848.67804,2557.5337,-32.854355,2.0076928,4.1237497,13.120638,-4.2218447,0.2206694,1.1405779,4.486563,-3.3720057,-1.046997,0.929102,0.13635547,-3.3672245,0.057853956,5.71E-05,"[193.50803818 209.81197945 210.68815145 206.53551964 208.00896722
 207.49258214 208.56807792 209.3124469  208.02408747 207.56177399]",206.9511624,4.627806074,210.6881515,193.5080382,20000,27000,0,110.5304141,2.568731158,13.25625241,126.3553977,650.3678499,4
0.05830873,5.71E-05,23.77647,2.3776472,32135.314,4358.801,-1212.8418,1143.517,1363.3727,4282.5903,-11.55082,1224.9485,1351.4484,4213.0786,-169.9138,3.0190597,4.898892,14.963242,-5.21805,0.55663383,1.3701274,4.448834,-3.474522,-0.9970248,0.87906426,0.3330434,-3.3058958,0.020794382,1.04E-05,"[262.22734603  46.26229839  46.02308838  49.82084794  48.25534923
  46.69728888  46.08860956  46.06228552  44.78593908  46.17798692]",68.24010399,64.67596253,262.227346,44.78593908,24000,32000,0,108.3818025,2.451649575,12.84066586,123.6741179,772.5110382,5
0.021330003,1.04E-05,27.21408,2.7214081,73767.25,19275.34,-1632.3711,1565.8096,1848.5581,5189.5156,-17.724201,1661.4711,1898.7725,5349.2046,-156.05772,3.0279803,4.5728416,16.855213,-3.665955,0.32066062,1.2888268,4.3636374,-4.4944377,-1.1624469,1.0567071,1.0351901,-4.1939144,0.017929127,4.66E-06,"[223.45337926 242.20223067 248.926853   237.28845973 237.32753307
 244.62487164 235.25043938 241.2246576  242.46670716 238.58924964]",239.1354381,6.472027894,248.926853,223.4533793,28000,37000,0,114.6931028,0.920336823,11.80673928,127.4201789,902.0413094,6
0.017823562,4.67E-06,29.240486,2.9240487,83447.22,16940.354,-2263.908,2117.9395,2566.3425,6823.857,-46.939564,2250.0925,2616.6873,7079.637,-301.4428,3.915902,5.519126,20.271595,-3.8904715,0.41926703,1.5765471,6.804423,-4.877284,-1.1261195,1.0467564,1.3129349,-4.248415,0.10029876,2.33E-06,"[305.68898353 337.41468798 285.57018415 333.08178977 295.80565163
 280.29106266 319.20146794 340.65104775 280.79947608 387.87306397]",316.6377415,32.37943435,387.873064,280.2910627,32000,42000,0,115.3137304,3.032309636,14.32296921,132.6690092,1035.464325,7
0.10021955,2.33E-06,31.052958,3.105296,74965.555,18094.395,-2722.5637,2561.1309,2910.616,7896.1953,-46.185196,2723.9856,2957.067,8140.4565,-73.63307,3.7615623,4.9311333,19.872175,-3.6930227,0.30649534,1.4602598,5.4924297,-4.384496,-1.3120793,1.1092986,0.51698506,-4.381073,0.046088822,2.10E-06,"[1045.91948685  186.34098703  456.1242582  1029.80204946  164.41798305
  190.73777859  176.23500856  196.64121006  189.94096735  155.69505024]",379.1854779,339.5372007,1045.919487,155.6950502,36000,47000,0,117.5433317,3.785668844,15.20471718,136.5337177,1175.61617,8
0.047697946,2.10E-06,31.135077,3.1135077,2935181.2,42621.117,-3036.946,3129.1926,3506.556,12414.926,-51.54327,3138.1316,3440.8208,10304.505,-66.65116,4.13904,5.2995334,19.81646,-5.0058823,0.26510444,1.5941563,9.87145,-6.035087,-1.2967982,1.174674,1.188241,-4.673926,0.010700448,1.35E-06,"[1022.24075441 1018.68970592 1021.43478201 1020.43608557 1017.32790197
 1020.40745029 1023.39506871 1022.53854099 1023.07264635 1024.07222419]",1021.361516,2.043289816,1024.072224,1017.327902,40000,52000,0,112.2888926,7.405536491,15.37618787,135.0706169,1327.776092,9
