Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0007111436,0.69280326,0.1495356,0.01495356,69.50569,29.639257,-5.4038105,0.0033121614,0.0017587668,0.008227947,-0.0015977039,-0.00029463152,0.0020243167,0.004122844,-0.006428632,-5.422134,0.6595036,-3.5287657,-7.012924,0.0015601738,0.001667595,0.0055234022,-0.0032934812,0.00043443142,0.0017997469,0.005979537,-0.0037199063,0.18768252,0.14730497,"[  14.00028753  -31.55095684 -226.86372544   -3.98702791   53.89787073
  -74.96443857  -12.16322149  -30.99285471   12.30646493  -53.08923595]",-35.34068377127018,72.65531124277545,53.897870730937704,-226.8637254375447,1000,7000,0,30.07871193718165,0,22.95115672517568,53.02986866235733,57.862271438818425,0
0.18722084,0.14853871,2.7861366,0.27861366,48.19011,4.1835685,-9.512016,3.6318457,8.760866,29.975864,-23.36469,10.310211,8.521749,34.14213,-13.94922,-5.2847686,0.5802789,-3.918102,-7.654071,-0.0133898165,0.14630279,0.44273037,-0.55860287,-0.2799964,0.029475626,-0.19588062,-0.41837108,0.14425269,0.03420157,"[ 47.96509837  14.07117867 173.66179988  16.13680027  52.80957115
  87.54043317 306.37415648 238.40122172 280.50058111 447.02988885]",166.4490729658226,139.833210977617,447.0298888459089,14.07117867156966,2000,12000,0,29.249305265024304,4.8348440788686275,15.75704830000177,49.8411976438947,116.66827899916098,1
0.13958915,0.034409728,6.1003313,0.61003315,82.67131,11.706245,-22.653818,17.357052,15.013961,57.756996,-32.1553,24.27089,14.021844,62.20539,-22.829952,-3.7396107,1.285501,-0.8504703,-9.2934,0.011537545,0.21715458,0.6880044,-0.74749595,-0.6653442,0.106234394,-0.34577504,-1.0635878,0.20194706,0.019815784,"[298.66488095 377.97489911 188.71140318 377.27829558 287.60327572
 358.84028923   8.82174145   3.23773512 289.1894981  327.9222451 ]",251.82442635314933,133.63947488151322,377.97489910669213,3.2377351183449252,3000,17000,0,27.1356070949696,13.800593433901668,18.643156186211854,59.57935671508312,185.00775074306875,2
0.19896053,0.020200843,7.5326552,0.75326556,112.58616,12.693346,-43.681957,40.023003,15.565252,73.52837,-27.113647,42.693695,14.684568,75.33157,-23.203854,-3.0951161,1.4846718,-0.2341809,-7.691781,0.004568341,0.21790825,0.9716887,-0.69259274,-0.7961521,0.11852843,-0.43446904,-1.1741184,0.21762693,0.013804589,"[214.6942854  210.90843858 276.89681978 236.76517041 179.246178
 204.07881529   7.22038409 235.86616231  58.24339253 200.87165342]",182.4791299818242,79.70151890255684,276.8968197817103,7.220384091456773,4000,22000,0,28.182227700948715,22.56042685592547,18.19216518336907,68.93481974024326,251.7596828932874,3
0.22463217,0.014188205,8.463063,0.8463063,108.58185,18.436272,-57.473396,52.912117,20.455147,103.359474,-21.327036,58.025932,19.029228,98.53959,-13.60782,-3.2443657,1.5840989,-0.16876617,-9.885862,0.022113647,0.2537919,0.8153246,-0.78958535,-0.7594018,0.108144365,-0.4079075,-1.0856087,0.29892033,0.013701287,"[158.95969706 181.3274048  127.98129476  29.31454848 306.65043237
 158.20926517  67.59949787  41.93972695  75.63325891  53.91713384]",120.15322602031384,80.64684097378489,306.6504323699024,29.314548476198578,5000,27000,0,26.87611459195614,20.377358423080295,17.928523713257164,65.1819967282936,310.9865999035537,4
0.30578932,0.01215495,9.109398,0.9109398,145.23572,16.488611,-74.223434,70.19043,20.767406,113.55323,-23.025692,73.45296,19.39197,124.43048,-11.286664,-3.0350795,1.5637962,0.96182406,-8.495542,0.03747923,0.2613341,0.97027767,-0.8806474,-0.77577466,0.10570175,-0.4187682,-1.0943424,0.32748044,0.01574593,"[ 94.05598754 113.63772341  70.84445821  34.73149022  93.14444108
  39.46521679  76.11159621 217.92909419  28.35957557  90.81832159]",85.90979048123187,51.72237631353141,217.92909418665312,28.359575567968875,6000,32000,0,28.468368031084538,14.425354977604002,18.173614399507642,61.06733740819618,380.7155390540138,5
0.32936147,0.015748452,8.420627,0.84206265,154.15768,27.507387,-94.3253,90.96997,22.255493,139.42342,-30.076017,93.16261,21.139242,146.12671,-24.818361,-3.6114368,1.4335512,-0.3939123,-9.466815,0.06584862,0.27868098,0.99131376,-0.95145416,-0.6747285,0.11750259,-0.34635544,-1.0904018,0.26609927,0.012010933,"[ -4.80026783  15.38829441  89.6193241   -0.10354879 -28.39134502
 -20.50840603  96.33554517 -15.08998181  -1.31664611  45.35398492]",17.64869530236571,42.39143451487798,96.33554517308197,-28.391345020852953,7000,37000,0,24.82856333302334,23.0858018361032,17.834485481493175,65.74885065061972,439.63256664481014,6
0.35418946,0.01135229,9.546211,0.95462114,227.18376,40.33774,-97.3167,93.209366,23.542912,150.00052,-8.637249,95.42553,22.818138,159.47981,-2.2414496,-3.9486437,1.4011819,-1.178171,-9.871375,0.004853488,0.28635484,1.107944,-0.9432404,-0.59874105,0.112378635,-0.29864386,-0.95232606,0.51611984,0.017133329,"[ 58.9230366   64.91746744 -90.18703978 -16.93030133 123.43967777
  11.64982738  83.68769434  -9.44510361 -13.04985555  76.53903657]",28.954443983386994,60.18087432431614,123.43967777435226,-90.18703977741289,8000,42000,0,28.159306711982936,16.257794691249728,18.320272703655064,62.73737410688773,507.13103967299685,7
0.5034417,0.01786727,8.807041,0.8807041,188.02,32.8407,-114.19888,110.690475,27.263206,155.89728,-12.47857,117.06068,25.54699,161.93475,-16.065434,-3.2456832,1.631841,3.5598595,-7.593236,0.009642176,0.32874343,1.0842344,-1.0483272,-0.70162904,0.14981861,-0.34593722,-1.2650514,0.54885375,0.0142388595,"[  7.91550698  66.6498799  114.08832991 -40.2615703   27.21515304
 -68.30886235  -1.09655134  94.3517987   60.57018587  43.85456066]",30.497843106939683,54.53715975819693,114.08832991479257,-68.30886234863344,9000,47000,0,26.61880941130221,21.01503843208775,18.567066584248096,66.20091442763805,569.4529223539867,8
0.20044012,0.02119305,7.3962517,0.73962516,244.30061,20.876696,-115.610054,112.66367,22.676142,162.06639,-36.56254,117.426216,22.78295,165.24786,-20.412582,-3.3146615,1.5929854,1.8636954,-8.249573,0.027097441,0.3258119,1.1779407,-1.0195366,-0.7119627,0.12863982,-0.36608803,-1.3362197,0.5433329,0.016662344,"[  1.36539742 -39.78129557 -15.20043885  21.16950838 122.70415198
 -12.7601363  105.49676608 103.44073389  77.14992112 146.28225743]",50.98668655740536,63.77028100337434,146.28225742810832,-39.781295574254635,10000,52000,0,29.525174090173095,17.13894143514335,18.02102380571887,64.68513933103532,640.6399309765548,9
0.54553485,0.015634373,9.232988,0.92329884,214.75227,21.24357,-143.40146,139.8292,25.807838,187.6023,-26.11967,143.36987,25.044538,192.82747,-53.040443,-3.2694788,1.7068185,4.738654,-8.930595,0.06982015,0.32872978,1.4110968,-1.2271042,-0.70314467,0.1436817,-0.39803433,-1.5892609,0.57717735,0.02215753,"[ 70.66703855 113.96616177   5.55028387  49.15753449  76.52246067
  36.44158213  27.94920307  58.83616892  44.8505133   74.12351887]",55.80644656555906,28.66737456889748,113.96616177424664,5.550283874486045,11000,57000,0,26.18080514203757,23.641721657011658,18.85543723590672,68.67796403495595,711.0938390330411,10
0.5812179,0.023214545,8.728807,0.87288076,201.6477,44.7297,-153.33871,148.3994,29.909353,220.3124,-5.4840345,152.16708,23.96081,226.97108,12.218166,-3.235735,1.7110013,4.1791124,-8.300232,0.055269033,0.33789483,1.3588798,-1.2473369,-0.7119409,0.14773114,-0.38511634,-1.3798723,0.60608304,0.013422793,"[143.68586168  58.03274245  60.87477969  33.3288478    4.77619137
  25.11201399  17.61253695 250.35080818   5.57475357 119.56483374]",71.89133694159321,74.23766892714623,250.3508081787017,4.776191366281468,12000,62000,0,26.675670464988798,25.416499115061015,18.177351393271238,70.26952097332105,770.2186742620543,11
0.6069572,0.013817665,10.12755,1.012755,237.9425,32.709206,-167.34221,162.30997,28.307238,209.97751,-18.696152,166.75073,26.508955,211.31908,-54.912685,-3.3113174,1.7729657,3.2222211,-8.4787445,0.037758883,0.3474832,1.1453158,-1.4719917,-0.6538307,0.14762701,-0.33877504,-1.4539844,0.654648,0.0107842265,"[ 130.99459617   37.07599952  -54.94227907   91.06887775 -187.55035145
   13.85582252    2.34506808  -49.56595881   43.00519135   29.83689445]",5.612386050482222,83.72604626829403,130.99459616947462,-187.55035145496333,13000,67000,0,29.566403006669134,14.272446635179222,18.81917978776619,62.658029429614544,840.1090457998216,12
0.6484249,0.010893333,11.196309,1.1196309,214.59839,62.04062,-173.96155,171.7445,28.09185,223.21835,11.70386,179.85933,24.175901,229.71165,61.383648,-3.0406108,1.6995105,3.2174013,-7.761197,0.021149555,0.36804366,1.3824763,-1.5050123,-0.67290133,0.14514771,-0.4122878,-1.5782896,0.6505477,0.0089729,"[-30.21452651 -41.69801503 118.36332107  39.95807862 229.84921408
 -46.67255674 197.73300803  -4.79803572  62.22236033 108.23096024]",63.29738083760706,93.7595312164279,229.84921407889644,-46.67255674008302,14000,72000,0,26.44997218903154,21.50635995203629,18.171491474844515,66.12782361591235,909.4373334730044,13
0.35296655,0.021226514,7.8010893,0.7801089,265.97226,37.18196,-164.77693,161.66232,30.790628,203.54988,-3.23198,165.60953,27.078503,208.47821,3.9660437,-3.1487572,1.8365537,3.7875195,-9.948297,0.050780382,0.34758723,1.1877016,-1.5764284,-0.691293,0.14364557,-0.3624735,-1.5587778,0.67162335,0.010211244,"[ 46.43514769 184.18421549  13.28445187 125.7873351    2.04232179
 218.97361196 151.4899056  156.17309448 183.04691048   8.44064705]",108.98576415127334,78.84812448153275,218.97361195664305,2.04232179123409,15000,77000,0,29.366876787040383,24.707781281787902,18.52231630962342,72.5969743784517,979.6874375357293,14
