Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.00067216775,0.69231623,0.15007588,0.015007588,72.00627,4.348541,-2.0539703,0.0046742754,0.00078647234,0.0068198126,0.0025699805,0.00083554036,0.0008371301,0.0042383783,-0.0017800751,-2.0363827,0.3649491,-0.8460885,-3.0406342,0.0006062304,0.00081670156,0.002711602,-0.0007597279,-0.00023992085,0.0010433691,0.0016407097,-0.0020184107,0.026589826,0.58883274,"[ 10.72945366  68.61138194  25.47627802  78.48916957 111.0681504
  68.71519553  71.02865102  53.91281892  76.12110143  86.24953234]",65.0401732832683,27.519028569256268,111.06815040000205,10.729453660002095,1000,7000,0,30.266317098401487,0,18.66422809381038,48.930545192211866,50.147329138591886,0
0.026486132,0.5903282,0.29706055,0.029706055,34.711502,2.4369445,-11.049603,9.537714,7.677554,27.861734,-4.0885653,12.102646,7.694116,29.96802,-2.249002,-1.9468197,0.43420827,-0.6750458,-4.080131,0.118608646,0.18478025,0.51896757,-0.20461713,-0.1465586,0.018457707,-0.10941944,-0.19813466,0.024042394,0.25257763,"[ 50.7037914   62.81042554  43.96765189 145.87490541  52.51174958
  52.85819597  44.93183341  51.03613993  67.12139962  49.80038516]",62.16164779134645,28.719945170134505,145.87490541039116,43.96765188847565,2000,12000,0,30.551251977682114,1.2226963778957725,14.15927161090076,45.933219966478646,95.68928926018998,1
0.020069977,0.25330886,1.5675302,0.15675302,23.363625,4.00715,-15.868343,14.25014,16.985588,87.621544,-2.1960828,16.331642,17.15512,90.395966,-1.2345359,-1.8471296,0.7442659,2.1220274,-3.5090992,0.119315974,0.29050696,1.1860263,-0.20023996,-0.16520812,0.08339335,-0.0895555,-0.47853282,0.067188725,0.114167534,"[157.1765336  140.54934948  55.03791369 116.81095278 127.07140418
 160.73595885  80.92397529 120.53764774 218.41199314 127.72134702]",130.49770757649475,42.324675918123624,218.41199313507593,55.037913693286356,3000,17000,0,30.81093100924045,0.8287718379870057,12.930747710168362,44.570450557395816,141.64522658567876,2
0.067518875,0.116938636,3.1876185,0.31876186,57.723198,4.614026,-23.647322,22.086952,28.976866,124.38506,-3.9004679,23.687431,28.803547,119.30259,-2.4792495,-1.6242768,1.145045,3.7015705,-4.026188,0.15994398,0.39753592,1.9366829,-1.0006168,-0.20459491,0.11222951,-0.09863344,-0.6472589,0.05569253,0.0396292,"[181.73167884 325.76735876 332.79807604 312.17847332 265.86070045
 320.97785562 333.30114132 337.98443743 343.26532291 314.59269965]",306.84577443346905,46.52839567899935,343.2653229060602,181.7316788399396,4000,22000,0,30.97315056808293,2.2147550024092197,14.7225031577982,47.91040872829035,191.48868996463716,3
0.052979954,0.04750199,5.2634926,0.52634925,30.629953,10.056182,-37.728107,35.263237,45.10834,158.05803,-6.647296,37.235188,45.25705,162.9658,-4.6033573,-1.6713634,1.0045797,3.518489,-4.572224,0.07883921,0.41208878,1.7045779,-1.3869996,-0.23548935,0.15103857,-0.10515492,-0.7930541,0.039729945,0.02122881,"[338.01553251 345.99971842 363.97199003 326.61074589 329.82174669
 352.46384769 348.38026709 364.8159058  346.53015006 348.87465184]",346.54845560236,11.964301726644019,364.81590580369647,326.61074589305395,5000,27000,0,30.91683672880754,4.146769751794636,17.83284359658137,52.896450077183545,244.40614677919075,4
0.040154435,0.020558018,7.2814655,0.72814655,71.89789,15.360215,-59.465797,54.87498,64.03212,195.68477,-3.9964855,59.548306,65.7031,201.1116,-1.8115464,-1.2948047,1.6206936,5.790661,-5.0501575,0.042854417,0.5730834,1.8084648,-1.7233307,-0.31780607,0.2326935,-0.09871339,-0.959804,0.033475537,0.007966122,"[326.95803816 302.95757156 309.42459662 339.50769619 354.11402378
 346.3899378  338.31319332 228.27500099 332.15318015 319.38044389]",319.7473682454518,34.04076580788102,354.114023780601,228.27500098795974,6000,32000,0,31.05026436271146,4.172175330109894,20.12335371831432,55.34579341113567,299.7451312430203,5
0.033154573,0.007984597,9.672311,0.9672311,57.98923,22.852116,-85.0979,82.79522,90.0113,246.27472,-4.9879575,87.58327,91.92745,251.69647,-1.396944,-1.255902,1.4037503,5.1215224,-4.230089,-0.013409392,0.55258393,1.9710511,-2.262724,-0.33995116,0.2647097,-0.08971545,-1.063372,0.013656305,0.0034099296,"[139.68282841 213.88376781 125.13856606 380.82961259 215.06469718
 178.93932176 202.34113442 121.94905037 253.19269069 147.6645665 ]",197.86862357821948,73.77361620873354,380.8296125941042,121.94905037228276,7000,37000,0,31.12620525388047,4.16357495682314,19.13850288465619,54.4282830953598,352.9875934673473,6
0.013534734,0.0038681298,11.413842,1.1413842,1104.6996,52.092834,-122.09263,121.43369,111.34866,294.0912,-5.482259,123.18318,110.830734,305.21786,-3.3779616,-1.0154151,1.5755054,5.391894,-4.6098323,0.098006405,0.59597176,2.2863178,-2.0584974,-0.37136593,0.25527292,-0.09182305,-1.1069276,0.020454485,0.0047339336,"[344.20516794 380.87847963 337.12361165 345.46694721 374.4848553
 358.04673378 359.10480144 373.01338427 351.71799566 367.03334781]",359.1075324688133,13.834004577359156,380.8784796343999,337.1236116452436,8000,42000,0,30.957914346829057,2.9783410849049687,18.39092287234962,52.327178304083645,406.9947889158502,7
0.021985117,0.00496152,10.943558,1.0943558,193.29425,31.89183,-143.3478,134.57956,132.83595,418.5353,-6.3230085,144.8086,136.53387,429.95297,-3.0050507,-0.6575785,1.9374475,5.7303543,-3.5885582,0.041861888,0.7744956,2.6696968,-2.9084284,-0.38086614,0.26366436,-0.08355616,-1.3645941,0.018341873,0.0027775117,"[377.77724731 358.97863555 371.47248713 322.25011534 342.03450296
 332.31847284 354.02584965 380.10411668 333.01174874 413.86803544]",358.5841211647861,26.481543174570014,413.868035441015,322.25011533865904,9000,47000,0,30.491495749913156,4.659355406183749,18.995000021532178,54.14585117762908,461.4029626818374,8
0.01693942,0.0029205817,12.177782,1.2177782,116.348404,39.78348,-152.65735,151.03244,159.28876,431.54877,-6.5703034,153.2069,158.33836,435.04224,-4.950321,-0.96140635,1.577533,6.8227468,-3.0115077,0.035351045,0.6464163,2.3996582,-2.2788572,-0.38710818,0.29957744,-0.05154278,-1.3839762,0.021627951,0.0039802454,"[404.32071664 378.75462928 372.70872742 356.84093448 382.65578642
 393.97171139 405.00449185 369.80228273 374.78216231 353.563065  ]",379.2404507526183,16.835680445660536,405.0044918503393,353.5630649982128,10000,52000,0,31.25347454380244,4.921055952087045,20.65163559280336,56.826166088692844,517.4146692045033,9
