Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-85.39381	107.18321	18.094835	-339.40466	64.12154	173.46349	426.42917	-76.61867	246.7	501.3	5000	5.702343	5.0863633	30.96086	-12.89831	5.7026916	5.08681	31.551695	-11.086325	6.78175	5.0033684	31.170534	-9.525411	-3.701248	2.493528	84.72739	-16.378187	-7.1858563	0.11164557	0.10735612	0.29245356	63.0223822593689
2	-108.735405	147.49017	10.769196	-437.5637	279.82196	32.692673	354.14667	232.5234	311.125	1000.0	10000	19.134565	5.4829884	50.217014	-9.568106	19.135193	5.4815354	50.57695	-6.9201536	20.25971	5.214178	51.843132	-3.024637	-2.1633325	2.5707834	20.075672	-14.564982	-21.26859	0.2533426	0.24918312	0.6069326	135.98349785804749
3	-63.157516	114.60343	18.79988	-442.8791	784.7431	33.282505	820.0629	703.81555	237.72223	1000.0	15000	25.61689	4.9126678	53.581852	-13.946637	25.61758	4.911843	53.34678	-18.833664	26.40996	4.4360533	51.679695	-1.5754287	-3.0010273	2.2468495	26.140171	-14.51581	-27.33013	0.38532668	0.3742432	0.7018767	206.62853479385376
4	-12.120687	74.637634	134.34908	-174.54594	730.19556	19.064182	755.6794	693.3146	410.92307	1000.0	20000	26.45364	4.4381022	51.0696	-13.689378	26.453789	4.438508	51.154663	-12.654838	27.150614	3.9060268	49.43775	-2.74675	-3.4056191	2.0009334	21.173746	-14.904163	-27.932314	0.29177973	0.28650945	0.5599637	286.7282531261444
5	50.89018	34.26377	110.28026	10.484746	680.5707	28.663103	757.2092	645.33093	408.33334	1000.0	25000	28.072144	4.408366	52.882607	-9.238599	28.072067	4.4091787	52.07169	-11.54674	28.73416	3.874143	50.407745	-3.8937573	-3.2998543	1.9980024	23.473244	-14.511823	-29.478788	0.29655784	0.28893316	0.5485297	363.1313228607178
6	105.14499	33.871937	153.97632	59.880302	475.62305	168.74646	744.13275	255.27214	814.5	1000.0	30000	30.514696	4.587508	51.575333	-13.791167	30.514956	4.5874786	50.869205	-10.535075	31.15669	4.105051	49.712482	-2.5120494	-3.2549574	2.0113435	28.948622	-14.220142	-31.87161	0.26314873	0.25695696	0.5147117	439.0261836051941
7	81.88474	65.46843	206.2081	-15.062798	775.3776	118.4378	983.1358	649.97675	461.81818	1000.0	35000	33.47104	5.358583	49.911297	-12.70803	33.471058	5.360192	51.760418	-11.838038	34.099934	4.981817	48.40359	-4.679892	-3.2039137	1.9854202	40.877174	-15.384036	-34.789886	0.2987429	0.28871924	0.5273571	516.6361091136932
8	183.10008	61.369896	263.41895	90.079285	764.2073	125.94557	940.1507	594.72314	813.3333	1000.0	40000	36.5834	6.4487104	55.15628	-17.854881	36.583607	6.4496927	55.386044	-21.231245	37.196533	6.1545796	54.353275	-4.273222	-3.1404247	2.0096924	27.325346	-14.574636	-37.879	0.3090921	0.29996508	0.5455414	592.64808344841
9	215.08754	77.8261	291.7286	70.12367	670.93445	172.88982	929.2519	338.22305	856.0	1000.0	45000	39.932735	7.6327844	60.166748	-15.203333	39.93289	7.6337137	60.854137	-13.108924	40.5454	7.397076	59.553913	-5.5152245	-3.0962138	2.0545628	29.826511	-15.175671	-41.221706	0.31089038	0.30246612	0.5575276	672.1985332965851
10	183.92262	76.7392	263.9584	32.33561	807.2903	97.789825	965.1006	604.3774	916.8333	1000.0	50000	43.369892	8.822803	70.18053	-14.309062	43.369976	8.822441	69.52925	-12.619738	43.968742	8.655028	67.87414	-4.8783255	-3.1061502	2.0708392	36.346592	-16.65439	-44.631588	0.33739397	0.3368023	0.56489456	756.3179688453674
11	113.47781	105.74432	282.2427	-6.368416	779.0838	155.69386	992.7073	508.37857	491.33334	1000.0	55000	45.62648	10.378458	76.988945	-13.876266	45.626453	10.378856	74.44725	-14.263512	46.19909	10.287566	72.64242	-8.791914	-3.1224222	2.050271	28.835514	-15.405792	-46.851685	0.4098493	0.40343156	0.6173394	828.6402449607849
12	233.45818	111.334885	401.69693	34.779877	829.03937	284.0282	999.5516	26.92083	854.0	902.7	60000	47.27905	11.975001	81.54475	-19.04878	47.279095	11.975517	81.7497	-15.388723	47.839867	11.929252	80.435555	-3.0052342	-3.1280365	2.032692	29.2494	-15.173452	-48.477207	0.4162405	0.4105855	0.6234656	905.4359633922577
13	182.40424	101.88153	306.5483	22.914516	859.3156	287.73325	1025.8615	26.184412	657.0	901.9	65000	49.978817	13.036567	83.83958	-15.48899	49.978848	13.036434	84.01817	-17.053082	50.551964	12.991864	83.040634	-6.6802845	-3.1544518	2.0633285	31.9526	-15.973114	-51.177822	0.39473978	0.3961778	0.61725324	984.4225676059723
14	188.81009	112.38974	323.29443	36.599213	930.2388	78.71874	992.82043	767.46796	650.875	1000.0	70000	52.859966	13.816021	93.1183	-17.11913	52.86009	13.817401	95.44748	-33.521282	53.43475	13.78289	88.82409	-3.9010463	-3.2204704	2.091094	48.766945	-14.135872	-54.03819	0.47097695	0.45106667	0.63229406	1064.3468883037567
15	120.80592	107.00726	289.01804	-0.02761818	887.41876	158.96613	994.4661	493.11804	449.4	1000.0	75000	55.268536	14.424387	97.48422	-16.44523	55.26861	14.424645	95.34868	-15.179778	55.848743	14.403847	92.86802	-9.129234	-3.2393863	2.0922968	33.34311	-17.474247	-56.434742	0.46041515	0.45131817	0.63250226	1137.5940763950348
16	212.63635	78.56417	291.50598	44.132618	876.3244	229.22899	1003.9509	241.96457	839.3333	1000.0	80000	57.245937	15.08505	100.820435	-21.305305	57.246162	15.084596	98.232	-18.13679	57.82083	15.094471	92.9046	-3.6096249	-3.2892537	2.0143442	33.674934	-15.652185	-58.38375	0.4944772	0.49412966	0.62467414	1216.8410172462463
17	162.79315	118.368546	332.69263	8.287324	634.9741	358.38004	1012.03345	93.42339	553.2	1000.0	85000	59.254417	15.942086	98.8946	-21.262983	59.254578	15.941356	99.39162	-23.645576	59.834476	15.954879	95.90694	-4.505408	-3.2863157	2.0269356	47.35165	-14.83108	-60.39053	0.5133828	0.5172394	0.6584446	1301.3423085212708
18	266.0135	101.275375	335.961	66.81553	776.7383	288.88046	949.47925	49.398613	839.6	905.8	90000	60.954353	16.613901	101.08724	-17.40096	60.95452	16.613338	100.90921	-23.284262	61.526325	16.651606	97.250626	-4.6718802	-3.343355	1.9928513	32.050446	-14.756812	-62.06601	0.5172479	0.5261428	0.6488308	1371.3994376659393
19	242.43578	103.00438	363.4463	31.89003	797.9999	367.38037	1015.12476	21.990223	844.5	812.5	95000	62.68283	17.198368	105.81181	-26.680868	62.682823	17.19891	107.13132	-26.656384	63.265244	17.24183	100.784996	-7.429438	-3.3423562	1.9801334	39.74647	-17.717173	-63.78593	0.5277546	0.51900387	0.63431305	1448.073336839676
20	200.65161	150.56987	344.4847	-98.23896	888.1017	158.12465	1001.958	529.0898	749.1429	1000.0	100000	64.438385	17.690855	107.192566	-28.335752	64.438614	17.689886	109.05379	-20.193512	65.02464	17.738672	97.72316	-3.028655	-3.3617363	1.9869882	46.545425	-15.571672	-65.53733	0.5108386	0.5202181	0.65093285	1530.6633131504059
21	250.49583	102.42471	356.9655	31.076633	947.73376	52.910892	979.19867	792.74805	837.3333	1000.0	105000	66.16214	18.17008	109.30271	-22.009584	66.16217	18.16969	112.58398	-22.191748	66.75757	18.210085	103.144135	-6.72201	-3.371725	1.951456	44.44546	-16.237885	-67.25144	0.49733034	0.4972337	0.6397529	1609.8950312137604
22	239.38882	102.59466	312.4843	12.131265	799.1227	374.09415	1005.3485	43.690647	750.1429	806.7	110000	67.79826	18.371445	105.33925	-26.409777	67.798546	18.370344	109.847786	-19.403717	68.39531	18.409113	104.68568	-10.868301	-3.3814454	1.9710902	46.530846	-18.762695	-68.88714	0.5247561	0.51637423	0.64742446	1688.8521819114685
23	307.18417	27.704058	343.1373	274.42462	884.8748	263.2097	1002.0742	96.53831	1000.0	909.4	115000	69.34837	18.583858	108.46847	-30.007668	69.34855	18.583305	106.62719	-24.642757	69.94325	18.630888	99.57241	-13.764346	-3.3735638	1.9852142	40.609356	-14.780842	-70.43697	0.5333795	0.53355634	0.65842474	1765.1001195907593
24	250.6624	142.60023	380.49344	19.477692	809.692	298.38895	991.6711	42.26645	729.4286	904.8	120000	70.737206	18.68943	108.12343	-28.828285	70.73736	18.689053	114.40057	-18.50811	71.34217	18.728626	107.97162	-7.29337	-3.3430877	2.0045838	47.017845	-15.604521	-71.82425	0.535655	0.5288344	0.66225016	1842.8742594718933
25	255.11632	111.26418	340.41296	12.87541	1001.87274	14.546608	1032.6917	973.62427	838.1667	1000.0	125000	71.959366	18.84282	109.24876	-31.431551	71.959564	18.842806	109.16167	-29.261694	72.55584	18.895842	107.62322	-7.0480757	-3.384711	1.9859774	36.912407	-14.059011	-73.03088	0.5575724	0.53949296	0.6932121	1922.068475484848
26	290.3373	131.89737	433.99036	43.523838	781.9895	360.42282	1008.7438	31.524616	824.8	811.5	130000	73.01564	18.90591	122.69309	-19.50259	73.01595	18.9056	109.052315	-20.364567	73.617096	18.949333	104.39132	-10.765397	-3.3919725	1.9559671	38.676178	-16.433014	-74.07925	0.54657555	0.5303766	0.660582	1987.997388124466
27	290.0904	24.368286	318.1644	246.8655	802.74054	377.13666	1010.9351	39.877705	1000.0	807.1	135000	73.91283	19.022858	108.5567	-26.409956	73.91313	19.021877	110.5538	-24.760553	74.51496	19.07493	106.29136	-14.253022	-3.4261844	1.9612645	48.609695	-16.837595	-74.970566	0.524553	0.53109	0.6606077	2063.660050392151
28	245.7831	128.37888	362.23233	21.085428	695.1631	445.682	997.0562	11.770266	741.0	704.4	140000	74.98855	18.990839	120.03077	-23.13723	74.98858	18.989481	123.55418	-15.951998	75.58797	19.053493	110.59191	-7.1562433	-3.403264	1.9824234	34.892303	-15.354699	-76.04725	0.515475	0.5374792	0.66645765	2139.5069527626038
29	314.33405	29.18538	330.82635	256.01917	655.62836	414.63452	999.02466	24.526705	1000.0	708.3	145000	75.85187	18.98736	114.36008	-42.875908	75.851906	18.98685	120.56139	-36.43731	76.45572	19.039164	112.763794	-4.3536887	-3.4280555	1.9714817	37.284996	-15.679419	-76.90459	0.5470545	0.5472609	0.65435106	2215.290374994278
30	215.68613	134.55649	334.28366	-11.681018	1003.4588	20.11174	1055.4231	980.3415	736.4286	1000.0	150000	76.641785	19.030142	120.931786	-28.304686	76.641884	19.02904	118.563225	-23.234083	77.24093	19.096731	112.18366	-8.224152	-3.4366632	1.9803536	45.857895	-17.687449	-77.688644	0.54883426	0.5738569	0.7006922	2299.8977456092834
31	249.79744	107.43081	320.61743	14.269212	811.21844	371.0605	1019.9636	51.984917	835.5	820.5	155000	77.31157	19.212261	115.59121	-25.461918	77.31162	19.212063	114.78965	-37.88385	77.91317	19.278147	113.07481	-9.211103	-3.4027362	1.9826972	41.109215	-15.189945	-78.360176	0.5898708	0.5878741	0.68818504	2379.1330506801605
32	229.65947	96.63023	298.73492	18.884146	900.1331	290.11575	1012.1708	30.319662	836.1667	902.3	160000	78.02989	19.194128	124.71563	-30.472095	78.02999	19.1931	123.04236	-27.227213	78.634346	19.253973	115.65943	-4.1256666	-3.4204168	2.0177484	43.50261	-13.612306	-79.07927	0.58028376	0.58555007	0.6955367	2459.1456396579742
33	183.80428	151.25507	372.83163	13.530421	787.7415	383.34286	998.5451	14.595267	501.72726	803.7	165000	78.62368	19.233204	117.58757	-29.406979	78.62379	19.232794	114.842674	-22.298534	79.22551	19.303925	115.03021	-10.463925	-3.4432373	1.9870924	42.431026	-15.294121	-79.661354	0.611915	0.5952752	0.6892124	2540.761598587036
34	168.06781	147.59572	342.11984	14.473615	551.73694	416.58386	999.8224	18.526129	513.125	708.5	170000	79.06958	19.314985	116.70744	-25.766436	79.06919	19.314241	120.245995	-39.127827	79.66979	19.392492	108.75965	-7.6542645	-3.4313855	1.9895923	38.334236	-14.224152	-80.109604	0.6602151	0.71908385	0.73278105	2606.043690443039
35	249.02065	108.18647	343.70288	18.884836	987.08563	6.84496	1001.60834	976.6347	837.1667	1000.0	175000	79.56013	19.249792	114.22313	-36.75799	79.5604	19.250721	111.81999	-26.007444	80.16009	19.322094	107.537834	-6.585386	-3.4217093	2.0034645	36.18148	-14.51511	-80.597305	0.7347403	0.70066917	0.7267449	2685.888113260269
36	286.5615	25.455093	332.13663	254.93596	772.8577	379.84097	993.81256	14.775108	1000.0	803.7	180000	80.1319	19.010164	114.133644	-29.580793	80.13196	19.011065	111.15823	-34.430233	80.7383	19.069227	108.151825	-6.8236275	-3.4960976	1.9689126	48.400627	-14.537272	-81.16306	0.62646985	0.60535854	0.6955739	2761.6033461093903
37	268.08243	103.012085	364.63052	51.000587	800.1693	393.74722	1018.2625	10.885333	838.3333	803.6	185000	80.82289	18.686401	116.077736	-28.963726	80.82299	18.687378	120.87483	-25.031921	81.4333	18.740076	110.31975	-9.731808	-3.4704938	2.0260892	51.554447	-14.691817	-81.85644	0.62818676	0.6088415	0.7132954	2838.270917892456
38	236.0614	133.43234	329.3231	22.474092	814.74457	396.4893	1025.7539	14.307655	727.5714	803.1	190000	81.35791	18.450727	115.13318	-82.76177	81.35784	18.45126	116.59333	-77.66985	81.965645	18.517323	109.89539	-6.3496356	-3.484296	1.9914173	43.62756	-17.551512	-82.385826	0.66188663	0.6652961	0.714305	2914.103392124176
39	287.75125	85.13621	376.06696	120.32507	701.2682	441.2184	1005.36255	14.257824	864.8333	707.4	195000	81.723	18.575327	122.785736	-37.52491	81.723045	18.575375	123.744965	-36.31665	82.3316	18.631847	113.46387	-8.195505	-3.4825525	2.0009942	38.98421	-14.46079	-82.753105	0.64039654	0.6529909	0.7360798	2988.289917945862
40	249.72655	103.255165	334.28674	26.395924	898.2604	297.02338	1009.7324	7.5034766	839.1667	901.2	200000	82.17195	18.42957	118.772514	-43.574696	82.17184	18.429647	120.60434	-27.295403	82.78326	18.477776	111.91777	-5.4914455	-3.4986448	1.999296	32.838696	-15.061314	-83.1948	0.6345286	0.6220749	0.7371462	3064.401781320572
41	252.66814	127.07739	359.95187	7.7399373	861.33484	293.39514	1002.877	24.954185	766.5714	902.3	205000	82.47691	18.444895	115.96601	-62.20514	82.47718	18.445642	121.58375	-91.8434	83.08335	18.50094	116.79454	-6.979532	-3.5145645	1.9717039	31.815327	-16.602049	-83.49567	0.70324373	0.6754146	0.7321195	3142.314171552658
