Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-341.41656	48.61038	-290.25888	-411.86484	-401.74133	3.2227771	-395.3419	-406.14648	1000.0	1000.0	5000	4.480502	4.4542966	26.06966	-7.825363	4.4804463	4.4543395	26.118624	-7.7576494	5.4024796	4.4738994	26.09004	-10.16321	-2.246453	2.6099486	85.798225	-14.925533	-5.6800776	0.08753162	0.0855436	0.2376293	65.82640409469604
2	-317.28003	21.628716	-278.96582	-346.0998	-471.32538	127.40859	-255.47713	-688.62463	1000.0	1000.0	10000	24.739702	10.072679	62.841686	-5.8054824	24.740393	10.072066	62.473778	-6.024226	26.625317	10.424137	65.92962	-3.0105648	1.4987862	3.5527964	24.593672	-14.413092	-27.374535	0.2711054	0.2636913	0.6689944	130.11580300331116
3	66.87756	454.2586	755.51404	-600.7311	1620.53	509.44373	2106.7432	546.4427	1000.0	1000.0	15000	46.8951	9.00285	87.42307	10.87884	46.89494	9.004292	87.993614	17.60021	47.87386	8.88257	86.076035	21.629707	-0.3640514	2.8728895	20.53259	-13.35508	-48.70345	0.44685146	0.4413411	0.9385414	197.82500171661377
4	793.8986	808.2758	1959.0178	-103.4708	2428.562	561.9052	2904.994	866.36304	1000.0	1000.0	20000	50.078636	15.481452	107.96397	22.468311	50.078773	15.481496	108.866394	22.197779	50.862144	15.352335	106.52748	23.623575	-1.0778868	2.8903468	33.15307	-14.209305	-51.639797	0.38762328	0.3907205	0.81970257	267.39490389823914
5	1919.6687	857.52997	2513.6384	216.36642	3318.8774	211.63358	3545.065	3026.9321	1000.0	1000.0	25000	61.130096	24.550636	135.52014	24.34525	61.13035	24.55132	134.89853	22.98846	61.830814	24.208582	136.11272	25.902494	-0.69156355	3.1265903	26.259747	-15.047314	-62.635437	0.69336677	0.6701206	1.2092334	336.93944239616394
6	2881.362	257.26746	3178.3035	2415.5078	3625.8286	93.68096	3751.0503	3489.5444	1000.0	1000.0	30000	80.61666	34.91989	173.6159	25.15417	80.61669	34.921062	175.0517	25.631767	81.303795	34.387177	179.69435	27.411415	0.17900634	3.5182734	29.582191	-14.338403	-82.25695	1.3459635	1.3200232	2.0371172	406.5691418647766
7	3307.2485	92.2083	3414.7368	3195.3013	2997.737	1444.8649	4112.6934	183.9846	1000.0	1000.0	35000	105.29749	44.260845	206.01007	26.681124	105.29745	44.261986	205.65254	26.489502	105.943115	43.58541	202.41632	28.217152	0.8648806	3.7940705	35.419704	-14.110958	-107.00513	1.7000352	1.6860414	2.5733035	476.35319113731384
8	2978.5725	1351.2477	3712.9673	278.81766	4488.8555	246.93129	4834.169	3873.4648	1000.0	1000.0	40000	126.084114	52.876694	235.47263	28.61636	126.084114	52.87791	234.2958	28.509296	126.64945	52.185326	231.82436	29.02069	1.1360232	4.031125	38.492928	-14.937761	-127.79169	2.0753665	2.0754073	3.197464	544.4186182022095
9	4076.6719	187.07822	4300.9478	3874.582	4654.6553	103.11784	4914.482	4536.323	1000.0	1000.0	45000	149.79016	60.266785	271.387	30.01003	149.78973	60.26685	269.06775	28.992775	150.28084	59.509335	269.29602	31.08485	1.4283527	4.113411	34.28646	-15.646205	-151.49501	2.603834	2.6455595	3.8610632	612.7331776618958
10	4638.6196	123.12503	4816.63	4466.9634	5184.3604	92.39803	5341.397	5031.8843	1000.0	1000.0	50000	174.07492	67.8044	303.49374	29.159386	174.07562	67.80472	304.5945	29.775423	174.55229	67.02082	304.0056	32.728786	1.8220253	4.2257357	33.409653	-15.79719	-175.82475	2.7436414	2.7060294	4.2395477	683.5678515434265
11	4822.529	162.5699	4987.3457	4524.907	5612.0474	157.06866	5833.0854	5269.3145	1000.0	1000.0	55000	199.12646	74.89081	332.0325	30.816404	199.12656	74.89099	331.08575	28.91565	199.57152	74.060616	330.91006	32.65723	2.2278428	4.3050303	39.20733	-13.422177	-200.91643	3.2032652	3.1788628	4.9591045	751.5456955432892
12	5139.965	229.37823	5451.1104	4859.329	5397.868	118.5729	5588.9204	5179.394	1000.0	1000.0	60000	222.67151	81.43756	358.98404	31.055815	222.67174	81.43823	359.09674	32.20579	223.04778	80.576744	359.75586	33.69834	2.495356	4.342947	43.752098	-13.493288	-224.45505	3.7411754	3.7658257	5.6994205	819.4398467540741
13	5423.1104	298.6432	5796.4976	5008.3994	6145.8687	206.53207	6418.969	5625.348	1000.0	1000.0	65000	244.92976	86.50147	388.56015	32.495853	244.92987	86.501816	390.0478	32.144142	245.25253	85.59295	387.30032	33.733105	2.7656236	4.372715	45.379356	-14.30776	-246.71698	4.203065	4.218	6.2160773	889.665374994278
14	4922.8213	1510.5778	5901.588	1920.9332	6476.9014	112.226166	6672.571	6301.532	1000.0	1000.0	70000	265.2089	92.184235	409.0753	31.467543	265.20868	92.18326	412.08066	24.680277	265.49377	91.26341	406.6744	31.018948	2.9633808	4.4360776	52.750988	-15.454525	-267.0069	4.4100485	4.5846796	6.6375093	959.2247724533081
15	5747.4795	395.7532	6086.5933	4978.1475	6770.7656	116.49033	6989.588	6622.9043	1000.0	1000.0	75000	283.23633	97.912445	442.3497	18.880087	283.23676	97.910995	445.46387	10.048609	283.4525	96.97189	442.47784	24.049755	3.1765141	4.499705	52.265694	-15.067277	-285.0216	5.6515994	5.769821	7.9599338	1028.112231016159
16	5934.849	397.85312	6586.1265	5489.6855	6564.965	127.2739	6888.1455	6342.711	1000.0	1000.0	80000	300.78342	101.440544	458.58054	26.455494	300.78314	101.439735	457.97397	15.8507805	300.96185	100.4809	457.24512	24.488615	3.2817643	4.492322	48.35267	-18.40959	-302.5546	6.165087	6.389161	8.387036	1096.2753717899323
17	5768.8657	573.5314	6481.329	4772.113	3026.4888	1743.4529	6073.7163	902.5183	1000.0	1000.0	85000	317.08215	104.8664	475.86624	28.514536	317.0823	104.86558	475.43304	20.90116	317.2079	103.89891	470.47726	30.169588	3.3682013	4.49732	57.971325	-16.384846	-318.8149	6.501508	6.5615287	8.703619	1164.364145040512
