Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	17.799381	17.600588	163.48427	4.84475	185.15955	2.1640954	188.8165	180.95395	21.99119	84.1	5000	18.736399	16.396433	105.73804	-22.895563	18.7368	16.393986	104.636765	-31.085907	21.17729	17.34909	113.07029	-21.84659	0.97339374	2.5794015	28.70941	-13.900275	-21.556698	0.67071277	0.70854604	1.3409867	58.53475213050842
2	17.390846	16.887156	200.20343	4.9527926	13.54265	1.3979437	14.827133	11.784474	22.226667	11.6	10000	105.48915	47.503223	269.82196	-108.94836	105.490585	47.510303	269.229	-58.025272	116.175766	43.902107	276.7543	-77.15859	4.6448994	2.9955447	29.963326	-13.711008	-118.01994	13.179255	12.57	22.429773	117.44913816452026
3	175.49292	80.08972	357.16333	17.993141	224.34799	48.835274	338.98773	166.31448	89.72727	120.0	15000	210.89603	52.92606	308.4291	-97.84769	210.8935	52.90994	315.76163	-79.74171	222.38522	33.172447	304.33154	-91.626526	4.547704	3.3815396	35.970512	-11.767349	-225.27245	47.23931	48.126038	45.34888	183.06916522979736
4	238.78879	74.87685	449.35712	49.95701	130.96767	97.21057	279.67438	63.963696	118.71429	65.7	20000	206.61392	56.104206	281.45627	-70.69936	206.61812	56.09392	284.06854	-88.561035	213.4175	44.7551	285.2944	-105.818344	3.2697103	3.204275	29.0486	-12.198462	-216.08383	34.54522	34.024235	33.487083	247.38860893249512
5	213.42963	66.22605	327.97076	51.88417	182.81845	1.4742615	186.2339	180.65887	97.65385	89.0	25000	182.31783	61.811577	262.39612	-64.089905	182.32118	61.844627	256.00027	-61.4263	187.0736	56.263683	256.65472	-67.065445	2.7299035	2.9627957	41.08935	-12.448139	-189.3203	25.086685	21.893341	24.561457	314.1164562702179
6	274.47232	72.70006	399.45853	38.824356	283.2542	1.0357873	285.53235	282.2846	118.71429	121.2	30000	155.86684	55.498077	228.38588	-79.448906	155.86778	55.50244	229.60005	-77.215645	159.33856	51.431065	226.51431	-96.179825	2.2329862	3.016873	39.072506	-13.208356	-161.22192	15.585175	14.964169	18.07327	382.51697874069214
7	281.06357	61.561523	316.1177	54.07096	293.123	1.2396351	294.80045	291.6055	115.325584	115.5	35000	139.0041	45.758106	196.82062	-89.50531	139.00308	45.767185	196.14388	-100.20616	141.7952	42.36824	193.97435	-68.909836	1.7070907	2.8334153	31.507355	-11.181737	-143.2903	10.269598	10.140903	12.059269	449.75841879844666
8	291.22366	13.373882	320.73126	258.89133	335.34177	1.712263	337.49353	332.71228	114.11364	122.5	40000	130.54868	43.113235	205.44154	-49.873672	130.54907	43.12013	191.38919	-67.748344	132.78455	40.43938	182.791	-50.990192	1.2447069	2.523535	31.566998	-12.232869	-134.03867	7.9232445	7.525012	9.232287	518.2030024528503
9	317.72183	49.290466	373.5269	183.50586	323.4427	1.8688374	325.71173	319.17883	119.54762	122.5	45000	126.051346	42.550568	187.08751	-59.460953	126.0516	42.551975	196.79701	-63.80449	127.898705	40.39248	182.06905	-47.23807	1.0539085	2.5173075	33.7586	-12.17125	-129.12715	6.860486	6.799203	8.207893	584.5994648933411
10	304.09964	19.872501	352.2705	263.51562	350.88397	4.859454	356.4526	338.68478	120.63415	122.7	50000	124.1841	41.478516	191.60794	-64.17743	124.18478	41.481606	210.53404	-42.324703	125.917755	39.490116	176.30394	-33.499004	0.95958346	2.5426855	29.79085	-11.955976	-127.04094	6.6063466	6.345925	7.7186522	650.2758889198303
11	336.1469	23.82133	389.67377	289.02856	315.5463	5.8280616	323.64227	305.7673	126.0	135.8	55000	123.35162	40.710728	174.78525	-83.230865	123.35254	40.719643	174.81674	-54.483337	124.89214	38.852272	173.79462	-25.858618	0.7338268	2.4714894	33.9423	-11.33756	-125.97535	6.0329714	5.379114	6.128694	715.9278419017792
12	342.42044	70.788055	493.1857	35.012985	329.83563	32.648785	381.42432	278.0029	135.78378	142.4	60000	124.00239	40.80174	176.90948	-53.13589	124.001686	40.803665	186.2841	-66.56053	125.41214	39.100796	174.95868	-36.53501	0.7769107	2.442549	29.783642	-11.953389	-126.48589	5.440919	5.385064	6.1148376	784.0480411052704
13	373.04883	81.74486	556.31104	77.26847	51.29709	0.31042624	51.983116	50.90383	133.7027	31.0	65000	125.78032	41.57443	191.22617	-73.86758	125.779564	41.576145	182.37585	-51.649834	127.0959	39.995964	177.11969	-38.687866	0.8184137	2.3971622	32.590343	-11.779563	-128.18958	5.5607376	5.600491	6.480754	848.4883058071136
14	398.35718	73.52575	562.93134	255.81433	467.19434	7.882753	478.57013	455.18326	136.32433	144.6	70000	129.22925	42.167877	185.05165	-53.221313	129.22885	42.169598	186.39711	-60.6453	130.55736	40.560616	184.57408	-53.58406	0.90917534	2.3973036	32.03309	-12.559455	-131.59346	5.5737276	5.539831	5.8740883	917.3544316291809
15	434.3557	65.47208	553.5629	301.52548	524.43195	2.9795902	530.00507	519.0851	142.28572	160.5	75000	133.20673	43.98803	227.01596	-66.58324	133.20657	43.99268	196.23384	-61.988216	134.48544	42.49079	190.81459	-20.06646	0.9193126	2.4480443	30.487709	-13.803682	-135.51573	5.84917	5.5905075	6.4989095	984.7194809913635
16	485.8201	86.1635	631.77704	287.5981	531.632	1.9942268	536.17175	528.66144	154.15625	159.8	80000	138.7061	46.05508	250.82503	-58.45072	138.70488	46.05668	256.69168	-44.176132	140.04533	44.5456	251.73882	-40.43648	0.9004929	2.5018933	32.60951	-11.251486	-141.04594	5.1302524	5.2011914	6.360071	1050.2604484558105
17	542.0541	92.883194	687.2902	257.88477	540.2929	27.47949	562.31775	491.41513	170.06667	171.4	85000	143.61914	48.904587	258.51505	-55.150276	143.61891	48.910942	253.6804	-68.06567	144.85373	47.52924	258.29922	-67.58504	0.97809833	2.51803	28.602669	-13.87039	-145.92252	6.145927	5.682552	7.178442	1118.0867056846619
