Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	119.72613	35.19218	254.29132	78.617004	205.2019	5.014096	214.4209	197.42108	23.932692	38.2	5000	56.393505	41.930622	175.89719	-17.672699	56.39494	41.93118	177.36476	-12.233842	60.12139	43.86965	182.97905	-29.44346	-4.263185	12.285845	296.46393	-20.675358	-61.0271	2.8576589	2.7289233	7.056089	58.97208571434021
2	123.63217	38.329453	246.64221	83.24091	221.21701	4.511638	228.79915	212.8318	24.57353	40.5	10000	227.82318	113.22111	482.1389	-23.742542	227.8264	113.22059	479.48346	-32.216347	247.27359	109.944534	496.57608	-19.787014	7.8840394	7.199617	52.231766	-19.22331	-249.85086	22.348845	21.888823	50.259125	117.81649613380432
3	299.15652	90.606155	760.4452	198.38351	234.73611	7.2474923	246.45511	225.59178	59.011906	45.7	15000	380.70947	155.50078	558.9913	-57.76737	380.71118	155.48976	556.3981	-52.685436	397.99503	143.72473	564.8059	-59.614185	5.856899	11.265315	64.718864	-20.433046	-402.30298	98.94683	99.33999	152.19255	184.80785250663757
4	312.41272	88.936516	521.6181	131.97504	288.42285	27.245821	339.7599	249.3872	62.024693	56.3	20000	313.9614	157.45767	529.71075	-74.89558	313.96573	157.4384	537.5065	-62.606068	322.17725	152.36804	540.1986	-79.32585	1.0036391	9.62564	49.10262	-20.375446	-326.9947	86.81634	88.381294	130.66449	252.13610911369324
5	342.4905	80.02865	663.65906	184.34402	300.15308	49.03066	371.47357	237.02522	72.27536	62.6	25000	242.75925	132.70166	448.2718	-18.801298	242.7584	132.7067	442.70004	-34.861683	248.36606	130.39781	452.73102	-37.166683	0.39705342	7.600271	40.504673	-21.243494	-252.85625	57.136005	57.04038	83.07896	319.1225759983063
6	379.92996	69.453705	566.97284	221.75821	339.8643	32.352276	410.7168	296.84314	76.0	64.6	30000	204.54764	116.94047	399.1136	-23.13397	204.54265	116.944725	398.83008	-17.531208	208.56691	115.90709	392.62674	-30.764671	-0.90873027	6.3528357	37.96081	-21.222378	-212.40396	39.71825	40.599194	56.484276	386.39528155326843
7	415.247	95.977066	691.4514	254.46353	607.0089	142.84406	904.16016	398.3232	82.13115	122.8	35000	183.67056	104.563194	357.6112	-29.047977	183.66977	104.56414	356.59195	-20.537159	187.18604	104.13553	360.73303	-30.331388	-2.5001123	5.729123	31.457745	-23.752748	-190.54317	27.136436	26.894081	38.39712	455.1434223651886
8	446.33994	91.67368	646.2593	243.61699	536.2127	117.34647	716.61633	378.88324	89.76363	103.6	40000	177.10332	97.27458	331.26212	-22.635815	177.10162	97.280624	333.2231	-20.600285	180.19716	97.0044	334.2588	-37.23081	-3.6676424	5.293258	27.082127	-20.318111	-183.26202	21.119184	20.961584	29.73076	522.1599967479706
9	455.97827	107.33141	1068.4492	300.2919	432.77924	28.479584	487.23984	372.15753	88.350876	78.8	45000	177.57031	95.325554	328.86407	-18.938639	177.56749	95.33078	328.94202	-19.645412	180.4481	95.11389	328.2502	-27.8792	-4.021107	5.122022	31.57825	-22.292461	-183.16998	16.613249	16.54185	23.654398	589.0458474159241
10	471.36548	120.96659	916.53284	296.0633	562.53284	70.69845	730.4479	492.77914	94.90566	107.6	50000	181.03906	96.00356	332.11108	-36.301388	181.03772	96.00953	334.44107	-18.555466	183.802	95.82861	333.9506	-31.27276	-4.129048	4.9771314	25.28757	-23.10881	-186.35837	15.7491455	15.512949	22.092293	658.0816371440887
11	505.44257	153.84837	1065.0454	261.77075	554.04474	130.46822	791.63556	409.9013	100.85714	109.1	55000	185.60762	97.40849	340.30243	-34.646843	185.60608	97.41412	339.47183	-26.08103	188.25627	97.2136	337.81396	-27.792849	-4.241474	5.025961	29.038803	-20.158714	-190.69666	15.4968605	15.230739	21.215473	725.5769500732422
12	498.27866	146.13432	1307.0848	298.0206	539.45557	128.99545	918.8437	454.97647	99.43137	104.4	60000	189.58855	99.59935	346.99966	-34.95934	189.5877	99.603325	347.71735	-26.822184	192.16576	99.47768	346.15485	-14.541917	-4.330007	4.984	30.021503	-23.422949	-194.57265	15.363678	15.141406	21.303349	793.6481227874756
13	522.4286	117.27575	939.94305	353.8633	625.7968	156.0436	969.385	392.31906	103.291664	120.1	65000	192.56	101.824196	355.44803	-29.928328	192.55705	101.82907	353.17004	-24.539818	194.98003	101.702484	351.2246	-22.960814	-4.5388207	5.097973	31.891773	-20.723839	-197.40848	15.780881	15.721753	21.531511	861.7752084732056
14	502.23633	114.55935	825.1014	306.46045	531.36255	132.5625	860.8768	414.92508	100.52	104.0	70000	193.36174	101.800446	354.15573	-33.784847	193.36078	101.80292	352.73517	-53.53055	195.62495	101.65479	351.98697	-31.035658	-4.6243114	5.0153294	32.79825	-22.261438	-198.06367	16.050325	16.113184	21.128994	930.614871263504
15	511.29413	128.25096	918.14636	228.89134	509.1498	98.43861	715.56885	388.44962	101.16327	104.0	75000	194.32124	100.76017	351.352	-25.834713	194.31998	100.7623	351.5298	-36.609596	196.42978	100.57521	352.73538	-19.656607	-4.699172	4.9631786	39.637543	-21.245548	-198.80255	15.302939	15.328292	19.939802	997.6379334926605
16	546.071	157.8947	1118.1471	315.81366	574.7714	115.80523	856.5546	433.30142	108.58696	111.7	80000	195.45576	100.17749	351.75235	-28.732363	195.45421	100.18068	349.79724	-35.406616	197.47336	99.981674	350.33292	-26.055805	-4.73904	4.905444	36.76881	-21.74733	-199.77515	14.618185	14.68791	18.700375	1065.1157488822937
17	544.88544	131.52658	900.3891	336.1227	625.1124	72.36595	804.9058	557.34674	107.42553	116.6	85000	196.51213	99.82681	352.28442	-45.354973	196.51178	99.82802	350.8147	-38.47332	198.41917	99.612404	353.2455	-42.175335	-4.859527	4.7973523	41.844803	-22.251703	-200.6671	14.179175	14.108431	18.188877	1133.7596833705902
18	506.41156	95.52873	811.3081	347.96747	543.86475	102.832115	825.5902	459.48508	99.28571	103.2	90000	197.47629	100.024445	351.7701	-25.467478	197.47517	100.02715	349.72403	-48.36078	199.30644	99.80414	357.92245	-19.19962	-5.0038304	4.766719	35.26111	-22.510206	-201.51285	13.996666	14.01543	17.541708	1199.5521748065948
19	552.8719	175.82881	1399.8364	353.76843	662.64465	131.97183	884.0186	509.10822	108.40426	127.2	95000	199.51279	100.22632	352.07968	-41.72066	199.51198	100.22689	352.66708	-27.991955	201.26915	100.0118	351.1119	-19.495459	-5.0085297	4.735889	33.19581	-21.563522	-203.48312	14.117835	14.1731205	17.827812	1268.1428186893463
