Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-149.4017	7.0727806	-135.89345	-167.9038	-50.031155	5.6090713	-40.937412	-56.90987	100.0	100.0	5000	-5.6332517	2.1670895	0.83828753	-13.097458	-5.633272	2.166868	2.5404987	-13.114883	-4.5265174	2.0742168	0.48438582	-12.096931	-3.1013367	2.0604498	63.414825	-13.341349	4.406975	0.017769119	0.017886681	0.07243744	50.353556871414185
2	-150.2746	7.3588634	-133.8289	-166.01889	-107.776085	3.3479586	-102.49875	-113.2976	100.0	100.0	10000	-9.794289	2.13981	3.2966225	-18.675629	-9.794179	2.1385124	3.3432493	-18.51878	-8.527833	1.9712018	-0.40491933	-17.522095	-2.0423183	2.5181026	26.790947	-15.496244	8.174599	0.06360223	0.06773239	0.15824714	101.26274085044861
3	-101.68069	11.165987	-76.186386	-127.60392	-68.99362	4.787734	-61.378124	-75.05314	100.0	100.0	15000	-11.378959	2.7096	3.9594698	-25.231993	-11.378974	2.7095342	6.4810324	-24.735838	-10.363904	2.4843462	-0.10850041	-24.492887	-1.6193979	3.1424994	45.99131	-13.73382	9.763873	0.1021348	0.10177319	0.24980271	156.3455696105957
4	-101.86324	11.251252	-85.315315	-135.26306	-47.063118	6.822924	-32.403618	-58.29676	100.0	100.0	20000	-14.934731	3.0894592	6.614826	-25.919716	-14.934743	3.0947955	8.00107	-26.637268	-14.112315	2.812909	1.3995376	-25.763811	-1.5980974	3.2807722	27.268595	-13.598432	13.444611	0.1928213	0.18061724	0.37628004	212.82533049583435
5	-102.314964	11.192723	-80.283966	-135.27438	-52.67979	5.6967425	-44.196007	-64.19069	100.0	100.0	25000	-17.75271	3.627635	11.446655	-33.456135	-17.752495	3.6290026	11.45844	-33.84471	-17.039747	3.2748523	0.9428315	-32.648174	-1.1228684	3.5648668	28.201075	-15.192112	16.152763	0.2815065	0.27776045	0.5735266	270.85425305366516
6	-102.59952	11.761309	-71.144745	-132.82028	-72.71901	5.875476	-64.50494	-83.95596	100.0	100.0	30000	-21.361664	4.3280306	9.074789	-37.298206	-21.361628	4.3258853	11.238478	-37.497253	-20.799904	3.9450088	2.6111834	-36.8679	-0.7509643	3.7449393	33.98529	-16.39923	19.672329	0.45934072	0.46972257	0.7753889	328.06281208992004
7	-106.30478	16.659246	-81.054085	-145.96371	-64.33956	3.6492298	-58.67145	-70.66703	100.0	100.0	35000	-25.031063	4.8237896	13.207064	-40.328453	-25.03072	4.8252697	18.110655	-40.25971	-24.52463	4.3850646	2.084229	-40.391212	-0.32946718	3.9865513	40.28924	-16.590818	23.14845	0.611903	0.6095919	0.995032	384.1680603027344
8	-101.64182	11.653867	-81.84203	-129.94797	-42.037437	7.0951724	-31.985285	-52.729565	100.0	100.0	40000	-27.34468	5.357174	14.779079	-43.965355	-27.34381	5.3597655	28.121426	-43.848106	-26.869999	4.906562	6.4257593	-46.21508	-0.09312228	4.2637315	37.682533	-15.4724245	25.323988	0.73824865	0.7489413	1.2237265	442.325236082077
9	-102.97258	15.214723	-74.04626	-135.86935	-77.258095	6.2007427	-70.098495	-90.67003	100.0	100.0	45000	-29.710882	6.148375	17.754274	-48.011013	-29.710785	6.148077	18.11633	-46.933468	-29.323568	5.7044945	2.5453925	-47.051296	-0.007181727	4.493632	35.81542	-14.320684	27.68444	0.9347068	0.9378566	1.3942975	499.2238144874573
10	-115.759254	14.719403	-80.556625	-145.82463	-86.2368	3.58684	-79.62124	-91.50617	100.0	100.0	50000	-31.01648	6.473365	16.226723	-51.851383	-31.016016	6.469431	16.752623	-50.192577	-30.60564	5.965187	2.3130689	-50.373512	0.1239101	4.508671	37.47512	-13.555527	28.870537	1.0494831	1.0921414	1.4839963	554.4428110122681
11	-100.52297	9.685839	-83.71928	-122.423546	-57.608833	4.5991306	-50.3265	-66.244934	100.0	100.0	55000	-31.98137	5.8820205	24.249563	-50.425613	-31.98116	5.873985	21.685656	-49.420372	-31.599144	5.234096	3.229519	-50.76136	0.054157484	4.387821	39.730293	-13.57578	29.831013	1.162214	1.2422975	1.5454942	609.6070098876953
12	-101.99042	11.811695	-78.13941	-135.14026	-70.61752	5.661368	-61.20458	-80.07541	100.0	100.0	60000	-34.286266	6.6218853	24.082623	-52.074398	-34.286507	6.6058164	22.748928	-52.575043	-33.986507	5.97185	3.8753138	-50.804234	-0.032321084	4.4490895	40.235622	-15.392865	32.17584	1.2979809	1.4146096	1.6960453	666.0852897167206
