Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-464.4242	72.0089	-366.31454	-606.01044	-413.1687	69.6992	-288.45166	-501.98996	100.0	100.0	5000	-24.453203	10.495389	3.9156082	-67.30733	-24.452778	10.4962635	2.1400862	-67.919266	-21.30963	9.894235	1.7246923	-65.67769	2.1108823	3.816407	64.648506	-12.967201	20.074356	0.4973673	0.4954374	1.3337711	56.937113761901855
2	-479.59854	80.33522	-335.52405	-600.46936	-553.5678	88.890526	-406.88947	-669.84424	100.0	100.0	10000	-29.921753	9.862912	6.7731643	-67.987724	-29.922	9.86284	14.186037	-69.20791	-25.869778	9.285595	4.885667	-65.56494	4.1817937	3.8442178	38.914017	-14.462443	23.2266	1.12952	1.1203685	2.4836917	111.91687893867493
3	-376.86035	97.788704	-231.68701	-692.2611	-376.79224	82.26091	-232.84741	-491.30685	100.0	100.0	15000	-40.422943	12.10978	17.162054	-90.28227	-40.42205	12.118986	19.340788	-92.48024	-37.491962	11.619974	1.7714105	-85.404816	3.5676842	3.7632167	32.662636	-15.06511	34.49935	2.343611	2.2943685	3.8599825	173.20593786239624
4	-363.67175	86.471405	-206.11876	-562.31903	-406.30023	80.468864	-257.73953	-514.30005	100.0	100.0	20000	-59.57554	16.36211	34.3444	-130.20886	-59.575848	16.35821	35.881355	-131.67793	-57.53184	15.732881	1.8145711	-132.44046	4.79959	4.7061634	48.280556	-13.940231	52.650833	5.215575	5.2177095	7.627401	234.5743751525879
5	-386.19766	107.09413	-202.73987	-580.742	-441.14044	73.0663	-321.89676	-536.0725	100.0	100.0	25000	-74.77198	22.050135	36.867897	-146.67319	-74.77325	22.060503	37.85554	-149.39099	-72.705154	21.465021	23.466057	-143.13931	5.9944277	4.904624	55.655415	-13.246918	66.1181	7.970281	7.6052494	11.37663	296.4157898426056
6	-366.05203	101.3267	-172.51237	-591.61847	-383.51437	86.05505	-235.73276	-497.02112	100.0	100.0	30000	-84.474754	26.954699	61.89322	-162.8679	-84.47514	26.96961	49.637108	-161.15129	-82.82608	26.297422	16.828781	-159.43538	6.4372644	4.8608985	49.88788	-15.314863	75.38124	11.278232	10.697376	14.232431	358.5195653438568
7	-402.1802	106.46073	-230.90286	-622.60657	-460.8789	89.688095	-299.75247	-584.6964	100.0	100.0	35000	-91.99217	31.410885	55.526005	-182.77486	-91.99263	31.43558	47.53976	-182.39272	-90.42324	30.643864	19.684532	-176.64539	7.1375666	4.8871584	52.836796	-13.543331	82.12609	12.329222	11.60073	16.158476	421.41718339920044
8	-373.8834	91.53628	-219.12837	-603.6927	-444.88312	68.23985	-348.61542	-535.0547	100.0	100.0	40000	-96.30836	31.496033	47.15148	-184.85431	-96.30955	31.515387	46.831303	-189.48386	-94.789536	30.760332	23.457384	-183.18243	7.020751	4.6496434	60.084908	-11.619692	86.8013	14.484987	13.786258	17.061222	482.5058078765869
9	-359.626	99.74136	-182.17046	-622.7049	-480.0272	73.22338	-343.80136	-569.715	100.0	100.0	45000	-101.75164	33.59115	63.09209	-215.6647	-101.75121	33.596622	54.740753	-200.91762	-100.44514	32.984154	36.457756	-204.03087	7.1228194	4.8528585	55.694057	-12.235912	91.72369	16.2555	15.913075	19.869066	545.4318251609802
10	-347.01117	87.886314	-205.81995	-541.63983	-368.74347	88.58242	-226.18538	-508.04163	100.0	100.0	50000	-99.56141	33.564583	61.204594	-215.62291	-99.56098	33.585503	55.90326	-221.00615	-97.63203	32.40504	59.378326	-206.30786	7.531	5.0413127	60.665718	-12.199215	88.377556	17.958452	17.187174	20.252295	607.9777572154999
11	-356.63907	134.16681	-166.2799	-647.4932	-461.7719	98.49293	-276.81778	-589.87213	100.0	100.0	55000	-104.52504	34.118935	84.01434	-218.99095	-104.52534	34.129517	74.94514	-211.26498	-103.45768	33.479626	73.02768	-202.56229	7.143685	5.286351	61.81212	-12.062256	94.12643	20.507301	19.895258	19.857471	670.8150792121887
12	-381.79727	125.23216	-177.3369	-652.4953	-404.93307	75.617134	-280.2024	-513.47406	100.0	100.0	60000	-109.35832	36.375656	53.70683	-216.36533	-109.35816	36.399345	60.39485	-215.80081	-108.28583	35.646286	48.868034	-219.70715	7.2137074	5.123272	58.135612	-13.301954	99.03099	23.337345	22.475569	20.070219	735.7811734676361
13	-391.96683	97.36962	-205.11244	-679.12695	-409.71606	85.052086	-269.71042	-530.5005	100.0	100.0	65000	-117.35406	41.618195	95.57681	-255.28593	-117.35242	41.640224	74.87876	-249.09299	-116.48498	40.997902	47.089973	-245.10512	7.574924	5.2067146	62.553967	-12.675543	106.3076	26.800781	25.99252	23.735594	800.8245370388031
14	-342.96	91.98766	-195.76804	-547.5813	-379.86606	87.27675	-221.40007	-488.09467	100.0	100.0	70000	-116.64421	41.060024	65.485344	-263.60345	-116.64448	41.083736	89.97036	-269.6148	-115.458725	40.13348	46.561867	-258.67432	7.878015	5.193316	56.77299	-11.225744	104.433304	27.458275	26.51865	23.964676	863.9872298240662
15	-349.3932	83.84724	-170.68355	-524.3284	-428.9195	78.20261	-274.0565	-535.4	100.0	100.0	75000	-114.800705	37.158092	110.00916	-241.9899	-114.80062	37.17557	66.42264	-251.37204	-113.82192	36.25434	35.709915	-241.35033	7.602713	5.233439	54.26355	-13.959232	103.09311	28.94287	28.435913	22.62904	926.7637026309967
16	-360.86136	83.16892	-225.89496	-594.9456	-392.6491	66.57722	-260.5766	-466.83234	100.0	100.0	80000	-124.38493	41.126244	109.61193	-244.48637	-124.38488	41.129616	92.5932	-241.8555	-123.76153	40.25145	36.09992	-240.69388	7.956477	5.427063	60.42829	-11.260459	112.01232	35.80774	35.511803	24.487814	989.7459666728973
