Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-6.4397554	4.756461	-1.2092992	-15.135323	21.319408	0.73791325	22.73363	19.853138	1000.0	1000.0	5000	10.239793	9.174096	55.200874	-3.3498263	10.239699	9.17406	56.01912	-2.8459244	11.585368	9.80325	59.07275	-2.0240386	0.76472133	1.7267938	19.733408	-10.213879	-11.714863	0.044850703	0.0467304	0.10753647	65.71810412406921
2	-1.1817075	7.9455276	6.799079	-14.931894	18.079609	0.911794	19.306122	16.756737	1000.0	1000.0	10000	53.87029	15.5702	98.34263	7.830419	53.87009	15.570056	97.536804	8.129849	56.256954	15.386373	99.86763	8.883221	1.827216	1.7003976	9.792314	-13.138271	-56.529125	0.15621303	0.16184054	0.36956298	132.073144197464
3	22.430891	8.34515	34.035675	8.749354	21.171698	0.6393652	22.105055	19.897644	1000.0	1000.0	15000	83.21534	11.94882	151.80391	43.869003	83.21547	11.9484215	151.9159	43.21285	84.212	11.723356	148.31897	45.873108	0.5588724	1.6866541	8.867987	-13.23861	-84.43723	0.11406987	0.111796774	0.26891267	204.23839449882507
4	13.971443	10.331417	27.404564	1.0316656	2.4859757	16.161587	22.715137	-24.974827	1000.0	1000.0	20000	78.35912	9.174361	118.38901	52.344128	78.35906	9.174282	118.66354	51.649734	78.78973	9.291083	119.136116	53.80773	-0.39530984	1.3113047	7.88914	-9.512829	-78.95751	0.06188291	0.063802026	0.14785174	275.4655246734619
5	35.429054	6.8808436	41.895428	23.320393	28.210835	1.8647811	30.317642	23.88201	1000.0	1000.0	25000	66.71904	9.103004	94.30633	47.43797	66.719025	9.103105	94.356285	47.86802	66.95021	9.148231	94.887054	48.145935	-0.9433765	0.88809454	5.817724	-9.246722	-67.06771	0.029121881	0.03175851	0.07341427	346.8797228336334
6	28.377844	0.7209579	29.50773	27.242855	29.798412	5.7560506	37.212864	23.904278	1000.0	1000.0	30000	55.918697	8.701733	80.95014	39.979984	55.91867	8.701795	81.03376	40.250973	56.170994	8.773736	81.06275	40.872383	-0.9489926	0.88184124	4.5547385	-9.123068	-56.26255	0.023129193	0.023955563	0.05990354	419.84396839141846
7	24.205814	6.759848	31.016047	11.199085	26.41245	4.7091336	31.513847	20.20224	1000.0	1000.0	35000	48.500084	8.306939	79.1881	34.989235	48.500114	8.3069	79.90941	34.944454	48.746655	8.367728	80.86328	35.116024	-1.0147673	0.8168486	3.123477	-8.549556	-48.823463	0.018282313	0.018104188	0.04636568	491.4198453426361
8	32.462048	3.3975363	37.015415	27.893782	27.599957	4.844995	32.217083	21.419945	1000.0	1000.0	40000	42.886814	7.901847	73.23763	30.987417	42.88679	7.901941	73.33932	31.008986	43.138924	7.96787	72.877815	31.506071	-1.0109597	0.81548434	2.8283138	-8.760594	-43.205925	0.01469986	0.015004141	0.038243793	563.0494108200073
9	29.555649	3.407671	35.501694	26.88128	29.838882	1.649088	31.70833	26.736055	1000.0	1000.0	45000	38.59725	7.8212104	65.45972	28.00251	38.597225	7.8212686	65.72683	27.959116	38.849415	7.891598	65.87314	28.599041	-1.0282404	0.8019484	3.1721678	-11.723173	-38.912407	0.01271866	0.013377154	0.034117408	635.3941416740417
10	31.512701	2.5086598	35.523582	27.753412	28.889797	2.5146697	32.82662	26.327799	1000.0	1000.0	50000	35.283157	7.607441	62.756073	25.896074	35.28315	7.6074915	62.74733	25.799637	35.532337	7.669203	62.923542	26.126026	-1.0621939	0.76408213	2.6294477	-9.472008	-35.58811	0.01122509	0.011148583	0.029595142	707.2920451164246
