Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-320.3825	103.6468	-126.33018	-581.03174	-84.47655	12.697209	-61.75892	-109.33617	100.0	100.0	5000	-12.216959	7.433743	4.090219	-73.13938	-12.216748	7.4337215	4.8728533	-73.492546	-9.968494	6.536227	2.7230282	-68.30897	1.3304232	4.187782	63.615124	-12.830701	9.297007	0.280975	0.28225982	0.52408516	56.55529022216797
2	-279.5259	99.14842	-119.18915	-577.71313	-521.6067	39.044567	-466.169	-590.75684	100.0	100.0	10000	-20.098574	9.225752	7.996012	-88.20748	-20.09833	9.226643	6.940496	-87.001015	-17.605448	8.292445	3.3950605	-81.49536	2.6036744	4.0124464	24.702305	-14.936187	16.020037	0.5099702	0.50400877	0.9780995	109.96125268936157
3	-217.01332	92.195595	-77.64894	-498.50723	-110.79873	23.22797	-56.17761	-139.60213	100.0	100.0	15000	-24.307512	10.992555	8.015528	-96.88373	-24.307436	10.995805	17.12804	-96.44488	-22.20995	9.934696	3.1452315	-89.894035	1.1391292	4.1557045	28.68619	-14.341975	20.717121	1.2629668	1.2167366	1.5438296	169.4719386100769
4	-158.53735	67.20516	-72.436104	-429.89374	-113.27004	23.67159	-75.52049	-152.70044	100.0	100.0	20000	-28.843184	11.425702	14.873116	-101.03512	-28.843245	11.428736	9.394722	-103.93136	-27.102097	10.510623	5.2578835	-94.051155	1.7874821	4.6066523	31.706947	-15.780013	24.944633	1.4662535	1.418664	1.9942473	229.80373120307922
5	-194.1157	106.04329	-64.731735	-519.46246	-190.61487	92.89602	-63.248863	-345.16852	100.0	100.0	25000	-33.0855	12.3259735	14.972121	-109.27685	-33.08513	12.329076	14.929911	-109.10717	-31.547754	11.416155	13.838135	-102.17266	2.0740068	4.7598195	36.66989	-14.32435	28.982862	2.1009789	2.070126	2.6811254	286.9030210971832
6	-208.03342	113.94515	-56.370502	-451.907	-105.72876	29.146736	-65.528534	-159.85194	100.0	100.0	30000	-36.70391	12.764662	16.179445	-121.39983	-36.703266	12.772892	17.159155	-121.53568	-35.342884	11.846645	13.587789	-116.69429	2.1977644	4.8973155	33.54529	-14.653981	32.47281	2.5626593	2.4798849	3.2513964	344.52865171432495
7	-168.26909	59.863422	-75.126495	-398.66815	-113.33565	12.764197	-96.98441	-136.86041	100.0	100.0	35000	-41.196804	14.180773	21.066004	-132.79546	-41.196915	14.188594	18.179178	-133.02513	-39.943447	13.223004	6.045838	-128.42809	2.700474	5.289296	38.8683	-14.579142	36.533405	3.0966218	2.96778	4.041015	403.3171935081482
8	-178.71309	120.232666	-69.51439	-784.5323	-148.17569	117.01746	-43.011375	-344.30838	100.0	100.0	40000	-43.397697	13.48005	18.886562	-134.61522	-43.39799	13.490402	27.148994	-131.74489	-42.27503	12.4981985	13.114989	-126.27472	2.8704977	5.6507483	45.23421	-14.728359	38.628265	3.2439463	3.0892599	4.112001	464.24230122566223
9	-227.86195	120.21309	-45.941315	-452.29004	-265.25665	66.420265	-96.888565	-335.66507	100.0	100.0	45000	-47.29424	13.702339	19.910484	-139.12637	-47.29423	13.710244	33.266773	-143.41753	-46.27654	12.746239	7.302052	-137.92145	3.3622575	5.697974	48.877945	-13.705618	42.20758	4.275481	4.179335	4.890504	526.214117527008
10	-186.80125	91.63392	-47.942513	-432.8778	-101.58805	42.06606	-51.499302	-174.73454	100.0	100.0	50000	-52.453945	15.513321	39.284126	-143.42676	-52.453777	15.525209	27.958494	-146.19319	-51.570602	14.596445	8.799131	-137.95497	3.4333456	5.815275	45.267876	-14.228918	47.10852	5.5552006	5.373322	6.00536	587.4928472042084
11	-193.50821	86.326744	-63.749603	-377.931	-258.30283	95.20944	-82.5134	-384.7404	100.0	100.0	55000	-57.20129	16.640947	29.77783	-150.38817	-57.201347	16.646158	31.629688	-154.05325	-56.41892	15.779215	18.016516	-148.1118	3.585083	5.862397	47.025658	-14.365234	51.596268	6.485416	6.35943	6.9200687	649.7112729549408
12	-278.49243	106.223915	-72.81542	-466.2089	-402.76712	52.630352	-309.55103	-461.68295	100.0	100.0	60000	-61.12239	17.495768	26.38953	-176.09897	-61.12246	17.503347	52.488094	-184.5607	-60.370575	16.620687	13.786844	-180.10555	3.592575	5.8633637	52.99736	-14.656258	55.376137	7.5823064	7.460694	8.046853	711.020987033844
13	-247.47768	127.20153	-63.51055	-541.89746	-146.00046	31.846516	-81.50063	-185.30183	100.0	100.0	65000	-65.4492	18.349411	36.58804	-179.87967	-65.450966	18.357784	31.098381	-189.15802	-64.80977	17.42973	18.414146	-174.66948	3.8281631	5.9248495	49.344177	-16.615112	59.53131	9.119745	8.810753	8.991828	772.4889945983887
14	-175.13303	61.6845	-68.45425	-365.10907	-115.210304	26.87915	-69.286766	-159.2764	100.0	100.0	70000	-70.086655	20.00676	43.678482	-217.0782	-70.08797	20.002699	34.96515	-209.40622	-69.44836	19.05354	30.75039	-197.13858	4.095558	6.0629	45.83397	-13.440086	63.731583	10.262194	10.195305	10.38212	834.7934436798096
15	-175.55434	84.79474	-67.10405	-418.82224	-109.58354	38.8511	-59.651386	-174.63174	100.0	100.0	75000	-71.20118	19.885393	43.723495	-223.28522	-71.20147	19.894035	54.525517	-221.39896	-70.554535	18.967827	29.329405	-193.19533	4.173734	6.043095	50.00027	-13.645908	64.61199	10.199735	10.006317	10.390146	896.0235893726349
16	-178.69148	73.669235	-73.93499	-349.54556	-143.97736	32.96972	-86.812325	-196.14922	100.0	100.0	80000	-71.41124	18.560528	43.911186	-196.89005	-71.41211	18.568794	54.972477	-202.73943	-70.83098	17.687445	47.884068	-180.8319	4.186467	5.8236785	51.70962	-15.59444	65.099014	9.757749	9.520644	9.938078	956.7597894668579
17	-212.1158	97.09156	-79.51937	-474.74332	-279.25153	57.93672	-181.86899	-358.6123	100.0	100.0	85000	-72.69044	18.630407	69.271904	-165.29158	-72.69219	18.63396	60.82764	-165.58902	-72.17992	17.76154	61.29002	-162.5428	4.1681876	5.9287586	45.265053	-14.378229	66.38009	10.402611	10.143816	10.654028	1018.7655138969421
18	-183.6003	73.725464	-75.06509	-463.74274	-162.98624	26.525703	-124.35145	-211.86723	100.0	100.0	90000	-75.78196	19.519405	81.72719	-170.50655	-75.783714	19.526516	79.005066	-169.19589	-75.37731	18.645815	75.9383	-160.63696	4.483809	6.092625	46.84955	-14.756403	69.002975	11.541944	11.256456	11.912484	1079.6310060024261
19	-194.60692	72.4745	-85.60702	-474.32892	-162.85167	28.996183	-88.116875	-192.95503	100.0	100.0	95000	-78.611595	18.536108	68.69221	-176.32394	-78.61274	18.538364	49.91256	-162.42253	-78.21175	17.586056	51.47879	-164.70634	4.2435923	6.19514	57.647766	-14.748772	71.9766	11.904333	11.747111	11.377063	1141.4486067295074
20	-197.06737	63.04661	-84.03629	-344.01453	-87.381836	26.595333	-58.47535	-133.7816	100.0	100.0	100000	-80.72731	17.966824	48.75616	-164.5099	-80.72957	17.98259	80.02504	-165.89084	-80.40236	17.058813	15.988471	-160.57738	4.1303473	6.1632786	52.99745	-14.020021	74.27366	13.384022	12.871277	11.413485	1200.8078775405884
21	-196.58629	80.69552	-63.345566	-393.96118	-284.50995	92.05536	-133.5268	-369.29584	100.0	100.0	105000	-82.95975	18.554867	94.9588	-179.85918	-82.96108	18.568306	61.602207	-170.34128	-82.6857	17.645584	25.368908	-172.36464	4.3476276	6.2866445	67.563736	-13.612473	76.3092	13.818547	13.476822	12.145584	1260.7211859226227
